"","LF_Number","LF_Name","total_count","HPDG_total_prop","HPDG_total_count","VH_total_prop","VH_total_count","H_total_prop","H_total_count","M_total_prop","M_total_count","L_total_prop","L_total_count","VL_total_prop","VL_total_count","LPDG_total_prop","LPDG_total_count"
"1",39,"LF39: Mortality or fitness reduction from stranding in rearing habitat",2,1,2,0,0,0,0,0,0,0,0,0,0,0,0
"2",58,"LF58: Mortality or fitness reduction due to reduction in quality of vegetation habitat",2,0.5,1,0,0,0.5,1,0,0,0,0,0,0,0,0
"3",59,"LF59: Mortality or fitness reduction due to reduction in quantity of vegetation habitat",2,0.5,1,0,0,0.5,1,0,0,0,0,0,0,0,0
"4",68,"LF68: Mortality or fitness reduction due to a reduction in natural (wild) genetic influence. This is measured by the stray rate (pHOSstray) into the system, or by the frequency and magnitude of direct transplanting.",2,0.5,1,0,0,0.5,1,0,0,0,0,0,0,0,0
"5",19,"LF19: Mortality or fitness reduction due to early alevin emergence",2,0.5,1,0,0,0,0,0,0,0,0,0,0,0.5,1
"6",25,"LF25: Mortality or fitness reduction due to lower quality spawning gravel",2,0.5,1,0,0,0,0,0,0,0,0,0,0,0.5,1
"7",22,"LF22: Mortality or fitness reduction resulting from frequent and higher peak flows causing redd scour",2,0,0,1,2,0,0,0,0,0,0,0,0,0,0
"8",67,"LF67: Mortality or fitness reduction due changes in biological characteristics such as fecundity, maturation rate, sex ratios, size at age, etc",2,0,0,1,2,0,0,0,0,0,0,0,0,0,0
"9",6,"LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity)",2,0,0,0.5,1,0,0,0,0,0.5,1,0,0,0,0
"10",21,"LF21: Mortality or fitness reduction due to dewatered redds at low flows",2,0,0,0,0,1,2,0,0,0,0,0,0,0,0
"11",1,"LF1: Mortality or fitness reduction due to predation from pinnipeds or other aquatic species",2,0,0,0,0,0.5,1,0,0,0.5,1,0,0,0,0
"12",36,"LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat",2,0,0,0,0,0,0,1,2,0,0,0,0,0,0
"13",37,"LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat",2,0,0,0,0,0,0,1,2,0,0,0,0,0,0
"14",38,"LF38: Mortality or fitness reduction as a result of decreased access to or quality of floodplain habitat",2,0,0,0,0,0,0,1,2,0,0,0,0,0,0
"15",40,"LF40: Mortality or fitness reduction due to frequent and higher peak flows causing flushing",2,0,0,0,0,0,0,1,2,0,0,0,0,0,0
"16",50,"LF50: Mortality or fitness reduction as a result of stress due to anthropogenic activity",2,0,0,0,0,0,0,0.5,1,0,0,0.5,1,0,0
