"","Stage","LF_Number","LF_Name","total_count","VH_total_prop","VH_total_count","H_total_prop","H_total_count","M_total_prop","M_total_count","HPDG_total_prop","HPDG_total_count","L_total_prop","L_total_count","VL_total_prop","VL_total_count","LPDG_total_prop","LPDG_total_count"
"1","Freshwater Rearing",36,"LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat",8,0.5,4,0,0,0.375,3,0.125,1,0,0,0,0,0,0
"2","Freshwater Rearing",37,"LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat",8,0.5,4,0,0,0.375,3,0,0,0,0,0,0,0.125,1
"3","Freshwater Rearing",38,"LF38: Mortality or fitness reduction as a result of decreased access to or quality of floodplain habitat",8,0,0,0.125,1,0.375,3,0.5,4,0,0,0,0,0,0
"4","Freshwater Rearing",40,"LF40: Mortality or fitness reduction due to frequent and higher peak flows causing flushing",8,0,0,0,0,0.25,2,0.375,3,0,0,0,0,0.375,3
"5","Freshwater Rearing",41,"LF41: Mortality or fitness reduction as a result of competition with hatchery fry",8,0,0,0,0,0.125,1,0,0,0,0,0.875,7,0,0
"6","Freshwater Rearing",39,"LF39: Mortality or fitness reduction from stranding in rearing habitat",8,0,0,0,0,0,0,1,8,0,0,0,0,0,0
"7","Freshwater Rearing",35,"LF35: Mortality or fitness reduction as a result of lack of access to appropriate food",8,0,0,0,0,0,0,0.75,6,0,0,0,0,0.25,2
"8","Freshwater Rearing",32,"LF32: Mortality or fitness reduction as a result of stress due to anthropogenic activity",8,0,0,0,0,0,0,0,0,0,0,1,8,0,0
"9","Freshwater Rearing",34,"LF34: Mortality or fitness reduction due to competition from invasive species",8,0,0,0,0,0,0,0,0,0,0,1,8,0,0
"10","Freshwater Rearing",42,"LF42: Mortality or fitness reduction due to unfavourable water temperatures",8,0,0,0,0,0,0,0,0,0,0,1,8,0,0
"11","Freshwater Rearing",33,"LF33: Mortality or fitness reduction as a result of disease, parasites, or pathogens",8,0,0,0,0,0,0,0,0,0,0,0.25,2,0.75,6
"12","Freshwater Rearing",30,"LF30: Mortality or fitness reduction as a result of elevated predation",8,0,0,0,0,0,0,0,0,0,0,0,0,1,8
"13","Freshwater Rearing",31,"LF31: Mortality or fitness reduction due to elevated predation as a result of enhancement of predatory fish species",8,0,0,0,0,0,0,0,0,0,0,0,0,1,8
"14","Freshwater Rearing",43,"LF43: Mortality or fitness reduction as a result of low dissolved oxygen",8,0,0,0,0,0,0,0,0,0,0,0,0,1,8
"15","Freshwater Rearing",44,"LF44: Mortality or fitness reduction as a result of poor pH levels",8,0,0,0,0,0,0,0,0,0,0,0,0,1,8
"16","Freshwater Rearing",45,"LF45: Mortality or fitness reduction as a result of deleterious substances",8,0,0,0,0,0,0,0,0,0,0,0,0,1,8
"17","Freshwater Rearing",46,"LF46: Mortality or fitness reduction due to ingestion of microplastics in lake environments",8,0,0,0,0,0,0,0,0,0,0,0,0,1,8
