"","LF_Number","LF_Name","VH_total_count","H_total_count","M_total_count","HPDG_total_count","L_total_count","VL_total_count","LPDG_total_count"
"1",6,"LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity)",1,0,0,0,0,0,0
"2",36,"LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat",1,0,0,0,0,0,0
"3",37,"LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat",1,0,0,0,0,0,0
"4",38,"LF38: Mortality or fitness reduction as a result of decreased access to or quality of floodplain habitat",0,1,0,0,0,0,0
"5",50,"LF50: Mortality or fitness reduction as a result of stress due to anthropogenic activity",0,1,0,0,0,0,0
"6",54,"LF54: Mortality or fitness reduction due to reduction in quality of beach habitat",0,1,0,0,0,0,0
"7",55,"LF55: Mortality or fitness reduction due to loss in quantity of beach habitat loss",0,1,0,0,0,0,0
"8",56,"LF56: Mortality or fitness reduction due to reduction in quality channel habitat",0,1,0,0,0,0,0
"9",57,"LF57: Mortality or fitness reduction due to reduction in quantity channel habitat",0,1,0,0,0,0,0
"10",58,"LF58: Mortality or fitness reduction due to reduction in quality of vegetation habitat",0,1,0,0,0,0,0
"11",59,"LF59: Mortality or fitness reduction due to reduction in quantity of vegetation habitat",0,1,0,0,0,0,0
"12",68,"LF68: Mortality or fitness reduction due to a reduction in natural (wild) genetic influence. This is measured by the stray rate (pHOSstray) into the system, or by the frequency and magnitude of direct transplanting.",0,1,0,0,0,0,0
"13",69,"LF69: Mortality or fitness reduction as a result of rearing in a hatchery environment leading to maladaptation to the wild environment. This is measured in a reduction in PNI.",0,1,0,0,0,0,0
"14",7,"LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat",0,0,1,0,0,0,0
"15",8,"LF8: Pre-spawn mortality or fitness reduction due to reduced quantity of spawning habitat",0,0,1,0,0,0,0
"16",9,"LF9: Mortality or fitness reduction due to fishing",0,0,1,0,0,0,0
"17",1,"LF1: Mortality or fitness reduction due to predation from pinnipeds or other aquatic species",0,0,0,0,1,0,0
"18",2,"LF2:  Mortality or fitness reduction increased exposure to terrestrial predation",0,0,0,0,1,0,0
"19",3,"LF3: Mortality or fitness reduction as a result of stress due to anthropogenic activity (non fishing)",0,0,0,0,1,0,0
"20",5,"LF5: Mortality or fitness reduction due to competition with invasive species",0,0,0,0,1,0,0
"21",10,"LF10: Mortality or fitness reduction of wild fish due to competition with hatchery fish or aquaculture escapees for spawning locations or mates",0,0,0,0,1,0,0
"22",16,"LF16: Mortality due to elevated levels of predation of eggs and alevin",0,0,0,0,1,0,0
"23",17,"LF17: Mortality or fitness reduction due to predation by or presence of invasive species",0,0,0,0,1,0,0
"24",18,"LF18: Mortality due to redd disturbance by humans",0,0,0,0,1,0,0
"25",20,"LF20: Mortality or fitness reduction due to redd overspawn",0,0,0,0,1,0,0
"26",32,"LF32: Mortality or fitness reduction as a result of stress due to anthropogenic activity",0,0,0,0,1,0,0
"27",34,"LF34: Mortality or fitness reduction due to competition from invasive species",0,0,0,0,1,0,0
"28",41,"LF41: Mortality or fitness reduction as a result of competition with hatchery fry",0,0,0,0,1,0,0
"29",42,"LF42: Mortality or fitness reduction due to unfavourable water temperatures",0,0,0,0,1,0,0
"30",47,"LF47: Mortality or fitness reduction due to elevated predation",0,0,0,0,1,0,0
"31",48,"LF48: Mortality or fitness reduction due to predation by invasive species",0,0,0,0,1,0,0
"32",53,"LF53: Mortality or fitness reduction due to increased frequency and magnitude of algal blooms",0,0,0,0,1,0,0
"33",4,"LF4: Mortality or fitness reduction as a result of disease, parasites, or pathogens",0,0,0,0,0,0,1
"34",12,"LF12: Mortality or fitness reduction as a result of low dissolved oxygen",0,0,0,0,0,0,1
"35",13,"LF13: Mortality or fitness reduction as a result of poor pH levels",0,0,0,0,0,0,1
"36",14,"LF14: Mortality or fitness reduction as a result of changes to salinity",0,0,0,0,0,0,1
"37",15,"LF15: Mortality or fitness reduction due to deleterious substances",0,0,0,0,0,0,1
"38",26,"LF26: Mortality or fitness reduction due to unfavourable water temperatures",0,0,0,0,0,0,1
"39",27,"LF27: Mortality or fitness reduction as a result of low dissolved oxygen",0,0,0,0,0,0,1
"40",28,"LF28: Mortality or fitness reduction as a result of poor pH levels",0,0,0,0,0,0,1
"41",29,"LF29: Mortality or fitness reduction due to deleterious substances",0,0,0,0,0,0,1
"42",30,"LF30: Mortality or fitness reduction as a result of elevated predation",0,0,0,0,0,0,1
"43",31,"LF31: Mortality or fitness reduction due to elevated predation as a result of enhancement of predatory fish species",0,0,0,0,0,0,1
"44",33,"LF33: Mortality or fitness reduction as a result of disease, parasites, or pathogens",0,0,0,0,0,0,1
"45",40,"LF40: Mortality or fitness reduction due to frequent and higher peak flows causing flushing",0,0,0,0,0,0,1
"46",43,"LF43: Mortality or fitness reduction as a result of low dissolved oxygen",0,0,0,0,0,0,1
"47",44,"LF44: Mortality or fitness reduction as a result of poor pH levels",0,0,0,0,0,0,1
"48",45,"LF45: Mortality or fitness reduction as a result of deleterious substances",0,0,0,0,0,0,1
"49",46,"LF46: Mortality or fitness reduction due to ingestion of microplastics in lake environments",0,0,0,0,0,0,1
"50",49,"LF49: Mortality or fitness reduction due to inter- and intra-specific competition",0,0,0,0,0,0,1
"51",52,"LF52: Mortality or fitness reduction as a result of lack of access to appropriate food",0,0,0,0,0,0,1
"52",60,"LF60: Mortality or fitness reduction due to competition with hatchery fish",0,0,0,0,0,0,1
"53",62,"LF62: Mortality or fitness reduction as a result of low dissolved oxygen",0,0,0,0,0,0,1
"54",63,"LF63: Mortality or fitness reduction as a result of poor pH levels",0,0,0,0,0,0,1
"55",64,"LF64: Mortality or fitness reduction due to increases in salinity",0,0,0,0,0,0,1
"56",65,"LF65: Mortality or fitness reduction due to deleterious substances",0,0,0,0,0,0,1
