"","LF_Number","LF_Name","VH_total_count","H_total_count","M_total_count","HPDG_total_count","L_total_count","VL_total_count","LPDG_total_count"
"1",9,"LF9: Mortality or fitness reduction due to fishing",1,0,0,0,0,0,0
"2",3,"LF3: Mortality or fitness reduction as a result of stress due to anthropogenic activity (non fishing)",0,1,0,0,0,0,0
"3",6,"LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity)",0,1,0,0,0,0,0
"4",7,"LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat",0,1,0,0,0,0,0
"5",8,"LF8: Pre-spawn mortality or fitness reduction due to reduced quantity of spawning habitat",0,1,0,0,0,0,0
"6",25,"LF25: Mortality or fitness reduction due to lower quality spawning gravel",0,1,0,0,0,0,0
"7",36,"LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat",0,1,0,0,0,0,0
"8",37,"LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat",0,1,0,0,0,0,0
"9",38,"LF38: Mortality or fitness reduction as a result of decreased access to or quality of floodplain habitat",0,1,0,0,0,0,0
"10",50,"LF50: Mortality or fitness reduction as a result of stress due to anthropogenic activity",0,1,0,0,0,0,0
"11",68,"LF68: Mortality or fitness reduction due to a reduction in natural (wild) genetic influence. This is measured by the stray rate (pHOSstray) into the system, or by the frequency and magnitude of direct transplanting.",0,1,0,0,0,0,0
"12",69,"LF69: Mortality or fitness reduction as a result of rearing in a hatchery environment leading to maladaptation to the wild environment. This is measured in a reduction in PNI.",0,1,0,0,0,0,0
"13",70,"LF70: Mortality or fitness reduction due to negative effects of small population size - including inbreeding depression and gene flow",0,0,1,0,0,0,0
"14",1,"LF1: Mortality or fitness reduction due to predation from pinnipeds or other aquatic species",0,0,0,0,1,0,0
"15",17,"LF17: Mortality or fitness reduction due to predation by or presence of invasive species",0,0,0,0,1,0,0
"16",20,"LF20: Mortality or fitness reduction due to redd overspawn",0,0,0,0,1,0,0
"17",21,"LF21: Mortality or fitness reduction due to dewatered redds at low flows",0,0,0,0,1,0,0
"18",32,"LF32: Mortality or fitness reduction as a result of stress due to anthropogenic activity",0,0,0,0,1,0,0
"19",34,"LF34: Mortality or fitness reduction due to competition from invasive species",0,0,0,0,1,0,0
"20",39,"LF39: Mortality or fitness reduction from stranding in rearing habitat",0,0,0,0,1,0,0
"21",2,"LF2:  Mortality or fitness reduction increased exposure to terrestrial predation",0,0,0,0,0,0,1
"22",4,"LF4: Mortality or fitness reduction as a result of disease, parasites, or pathogens",0,0,0,0,0,0,1
