"","source","X","LF_Number","LF_Name","total_count","HPDG_total_prop","HPDG_total_count","VH_total_prop","VH_total_count","H_total_prop","H_total_count","M_total_prop","M_total_count","L_total_prop","L_total_count","VL_total_prop","VL_total_count","LPDG_total_prop","LPDG_total_count"
"1","1",1,26,"LF26: Mortality or fitness reduction due to unfavourable water temperatures",4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
"2","1",2,42,"LF42: Mortality or fitness reduction due to unfavourable water temperatures",4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
"3","1",3,43,"LF43: Mortality or fitness reduction as a result of low dissolved oxygen",4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
"4","1",4,44,"LF44: Mortality or fitness reduction as a result of poor pH levels",4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
"5","1",5,45,"LF45: Mortality or fitness reduction as a result of deleterious substances",4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
"6","1",6,49,"LF49: Mortality or fitness reduction due to inter- and intra-specific competition",4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
"7","1",7,51,"LF51: Mortality or fitness reduction as a result of disease, parasites, or pathogens",4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
"8","1",8,60,"LF60: Mortality or fitness reduction due to competition with hatchery fish",4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
"9","1",9,63,"LF63: Mortality or fitness reduction as a result of poor pH levels",4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
"10","1",10,64,"LF64: Mortality or fitness reduction due to increases in salinity",4,1,4,0,0,0,0,0,0,0,0,0,0,0,0
"11","1",11,58,"LF58: Mortality or fitness reduction due to reduction in quality of vegetation habitat",4,0.75,3,0,0,0.25,1,0,0,0,0,0,0,0,0
"12","1",12,22,"LF22: Mortality or fitness reduction resulting from frequent and higher peak flows causing redd scour",4,0.75,3,0,0,0,0,0.25,1,0,0,0,0,0,0
"13","1",13,52,"LF52: Mortality or fitness reduction as a result of lack of access to appropriate food",4,0.75,3,0,0,0,0,0.25,1,0,0,0,0,0,0
"14","1",14,56,"LF56: Mortality or fitness reduction due to reduction in quality channel habitat",4,0.75,3,0,0,0,0,0.25,1,0,0,0,0,0,0
"15","1",15,61,"LF61: Mortality or fitness reduction due to unfavourable water temperatures",4,0.75,3,0,0,0,0,0.25,1,0,0,0,0,0,0
"16","1",16,62,"LF62: Mortality or fitness reduction as a result of low dissolved oxygen",4,0.75,3,0,0,0,0,0.25,1,0,0,0,0,0,0
"17","1",17,33,"LF33: Mortality or fitness reduction as a result of disease, parasites, or pathogens",4,0.75,3,0,0,0,0,0,0,0.25,1,0,0,0,0
"18","1",18,35,"LF35: Mortality or fitness reduction as a result of lack of access to appropriate food",4,0.75,3,0,0,0,0,0,0,0.25,1,0,0,0,0
"19","1",19,10,"LF10: Mortality or fitness reduction of wild fish due to competition with hatchery fish or aquaculture escapees for spawning locations or mates",4,0.75,3,0,0,0,0,0,0,0,0,0.25,1,0,0
"20","1",20,19,"LF19: Mortality or fitness reduction due to early alevin emergence",4,0.75,3,0,0,0,0,0,0,0,0,0.25,1,0,0
"21","1",21,41,"LF41: Mortality or fitness reduction as a result of competition with hatchery fry",4,0.75,3,0,0,0,0,0,0,0,0,0.25,1,0,0
