"","X","LF_Number","LF_Name","HPDG_total_count","VH_total_count","H_total_count","M_total_count","L_total_count","VL_total_count","LPDG_total_count","X_Future","HPDG_total_count_Future","VH_total_count_Future","H_total_count_Future","M_total_count_Future","L_total_count_Future","VL_total_count_Future","LPDG_total_count_Future"
"NAHMINT RIVER.1",1,10,"LF10: Mortality or fitness reduction of wild fish due to competition with hatchery fish or aquaculture escapees for spawning locations or mates",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"NAHMINT RIVER.2",2,19,"LF19: Mortality or fitness reduction due to early alevin emergence",1,0,0,0,0,0,0,2,1,0,0,0,0,0,0
"NAHMINT RIVER.3",3,22,"LF22: Mortality or fitness reduction resulting from frequent and higher peak flows causing redd scour",1,0,0,0,0,0,0,3,1,0,0,0,0,0,0
"NAHMINT RIVER.4",4,25,"LF25: Mortality or fitness reduction due to lower quality spawning gravel",1,0,0,0,0,0,0,4,1,0,0,0,0,0,0
"NAHMINT RIVER.5",5,26,"LF26: Mortality or fitness reduction due to unfavourable water temperatures",1,0,0,0,0,0,0,5,1,0,0,0,0,0,0
"NAHMINT RIVER.6",6,27,"LF27: Mortality or fitness reduction as a result of low dissolved oxygen",1,0,0,0,0,0,0,6,1,0,0,0,0,0,0
"NAHMINT RIVER.7",7,28,"LF28: Mortality or fitness reduction as a result of poor pH levels",1,0,0,0,0,0,0,7,1,0,0,0,0,0,0
"NAHMINT RIVER.8",8,33,"LF33: Mortality or fitness reduction as a result of disease, parasites, or pathogens",1,0,0,0,0,0,0,8,1,0,0,0,0,0,0
"NAHMINT RIVER.9",9,35,"LF35: Mortality or fitness reduction as a result of lack of access to appropriate food",1,0,0,0,0,0,0,9,1,0,0,0,0,0,0
"NAHMINT RIVER.10",10,41,"LF41: Mortality or fitness reduction as a result of competition with hatchery fry",1,0,0,0,0,0,0,10,1,0,0,0,0,0,0
"NAHMINT RIVER.11",11,42,"LF42: Mortality or fitness reduction due to unfavourable water temperatures",1,0,0,0,0,0,0,11,1,0,0,0,0,0,0
"NAHMINT RIVER.12",12,43,"LF43: Mortality or fitness reduction as a result of low dissolved oxygen",1,0,0,0,0,0,0,12,1,0,0,0,0,0,0
"NAHMINT RIVER.13",13,44,"LF44: Mortality or fitness reduction as a result of poor pH levels",1,0,0,0,0,0,0,13,1,0,0,0,0,0,0
"NAHMINT RIVER.14",14,45,"LF45: Mortality or fitness reduction as a result of deleterious substances",1,0,0,0,0,0,0,14,1,0,0,0,0,0,0
"NAHMINT RIVER.15",15,49,"LF49: Mortality or fitness reduction due to inter- and intra-specific competition",1,0,0,0,0,0,0,15,1,0,0,0,0,0,0
"NAHMINT RIVER.16",16,51,"LF51: Mortality or fitness reduction as a result of disease, parasites, or pathogens",1,0,0,0,0,0,0,16,1,0,0,0,0,0,0
"NAHMINT RIVER.17",17,52,"LF52: Mortality or fitness reduction as a result of lack of access to appropriate food",1,0,0,0,0,0,0,17,1,0,0,0,0,0,0
"NAHMINT RIVER.18",18,53,"LF53: Mortality or fitness reduction due to increased frequency and magnitude of algal blooms",1,0,0,0,0,0,0,18,1,0,0,0,0,0,0
