"","LF_Number","LF_Name","total_count","HPDG_total_prop","HPDG_total_count","VH_total_prop","VH_total_count","H_total_prop","H_total_count","M_total_prop","M_total_count","L_total_prop","L_total_count","VL_total_prop","VL_total_count","LPDG_total_prop","LPDG_total_count"
"1",4,"LF4: Mortality or fitness reduction as a result of disease, parasites, or pathogens",10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
"2",10,"LF10: Mortality or fitness reduction of wild fish due to competition with hatchery fish or aquaculture escapees for spawning locations or mates",10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
"3",13,"LF13: Mortality or fitness reduction as a result of poor pH levels",10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
"4",14,"LF14: Mortality or fitness reduction as a result of changes to salinity",10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
"5",26,"LF26: Mortality or fitness reduction due to unfavourable water temperatures",10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
"6",27,"LF27: Mortality or fitness reduction as a result of low dissolved oxygen",10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
"7",28,"LF28: Mortality or fitness reduction as a result of poor pH levels",10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
"8",33,"LF33: Mortality or fitness reduction as a result of disease, parasites, or pathogens",10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
"9",35,"LF35: Mortality or fitness reduction as a result of lack of access to appropriate food",10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
"10",42,"LF42: Mortality or fitness reduction due to unfavourable water temperatures",10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
"11",43,"LF43: Mortality or fitness reduction as a result of low dissolved oxygen",10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
"12",44,"LF44: Mortality or fitness reduction as a result of poor pH levels",10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
"13",49,"LF49: Mortality or fitness reduction due to inter- and intra-specific competition",10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
"14",52,"LF52: Mortality or fitness reduction as a result of lack of access to appropriate food",10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
"15",54,"LF54: Mortality or fitness reduction due to reduction in quality of beach habitat",10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
"16",55,"LF55: Mortality or fitness reduction due to loss in quantity of beach habitat loss",10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
"17",56,"LF56: Mortality or fitness reduction due to reduction in quality channel habitat",10,1,10,0,0,0,0,0,0,0,0,0,0,0,0
