"","LF_Number","LF_Name","total_count","HPDG_total_prop","HPDG_total_count","VH_total_prop","VH_total_count","H_total_prop","H_total_count","M_total_prop","M_total_count","L_total_prop","L_total_count","VL_total_prop","VL_total_count","LPDG_total_prop","LPDG_total_count"
"1",19,"LF19: Mortality or fitness reduction due to early alevin emergence",6,1,6,0,0,0,0,0,0,0,0,0,0,0,0
"2",21,"LF21: Mortality or fitness reduction due to dewatered redds at low flows",6,1,6,0,0,0,0,0,0,0,0,0,0,0,0
"3",22,"LF22: Mortality or fitness reduction resulting from frequent and higher peak flows causing redd scour",6,1,6,0,0,0,0,0,0,0,0,0,0,0,0
"4",35,"LF35: Mortality or fitness reduction as a result of lack of access to appropriate food",6,1,6,0,0,0,0,0,0,0,0,0,0,0,0
"5",39,"LF39: Mortality or fitness reduction from stranding in rearing habitat",6,1,6,0,0,0,0,0,0,0,0,0,0,0,0
"6",51,"LF51: Mortality or fitness reduction as a result of disease, parasites, or pathogens",6,1,6,0,0,0,0,0,0,0,0,0,0,0,0
"7",61,"LF61: Mortality or fitness reduction due to unfavourable water temperatures",6,1,6,0,0,0,0,0,0,0,0,0,0,0,0
"8",67,"LF67: Mortality or fitness reduction due changes in biological characteristics such as fecundity, maturation rate, sex ratios, size at age, etc",6,1,6,0,0,0,0,0,0,0,0,0,0,0,0
"9",25,"LF25: Mortality or fitness reduction due to lower quality spawning gravel",6,0.833333333333333,5,0,0,0,0,0,0,0,0,0,0,0.166666666666667,1
"10",70,"LF70: Mortality or fitness reduction due to negative effects of small population size - including inbreeding depression and gene flow",6,0.833333333333333,5,0,0,0,0,0,0,0,0,0,0,0.166666666666667,1
"11",38,"LF38: Mortality or fitness reduction as a result of decreased access to or quality of floodplain habitat",6,0.666666666666667,4,0.166666666666667,1,0,0,0.166666666666667,1,0,0,0,0,0,0
"12",58,"LF58: Mortality or fitness reduction due to reduction in quality of vegetation habitat",6,0.5,3,0.166666666666667,1,0.166666666666667,1,0,0,0,0,0,0,0.166666666666667,1
"13",54,"LF54: Mortality or fitness reduction due to reduction in quality of beach habitat",6,0.5,3,0,0,0.166666666666667,1,0.166666666666667,1,0,0,0,0,0.166666666666667,1
"14",55,"LF55: Mortality or fitness reduction due to loss in quantity of beach habitat loss",6,0.5,3,0,0,0.166666666666667,1,0.166666666666667,1,0,0,0,0,0.166666666666667,1
"15",56,"LF56: Mortality or fitness reduction due to reduction in quality channel habitat",6,0.5,3,0,0,0.166666666666667,1,0.166666666666667,1,0,0,0,0,0.166666666666667,1
"16",57,"LF57: Mortality or fitness reduction due to reduction in quantity channel habitat",6,0.5,3,0,0,0.166666666666667,1,0.166666666666667,1,0,0,0,0,0.166666666666667,1
"17",11,"LF11: Mortality or fitness reduction due to unfavourable water temperatures",6,0.5,3,0,0,0,0,0.166666666666667,1,0.166666666666667,1,0,0,0.166666666666667,1
"18",1,"LF1: Mortality or fitness reduction due to predation from pinnipeds or other aquatic species",6,0.5,3,0,0,0,0,0.166666666666667,1,0,0,0.166666666666667,1,0.166666666666667,1
"19",40,"LF40: Mortality or fitness reduction due to frequent and higher peak flows causing flushing",6,0.5,3,0,0,0,0,0,0,0,0,0,0,0.5,3
"20",68,"LF68: Mortality or fitness reduction due to a reduction in natural (wild) genetic influence. This is measured by the stray rate (pHOSstray) into the system, or by the frequency and magnitude of direct transplanting.",6,0.333333333333333,2,0.5,3,0,0,0.166666666666667,1,0,0,0,0,0,0
"21",6,"LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity)",6,0.333333333333333,2,0.5,3,0,0,0,0,0.166666666666667,1,0,0,0,0
"22",59,"LF59: Mortality or fitness reduction due to reduction in quantity of vegetation habitat",6,0.333333333333333,2,0.166666666666667,1,0.166666666666667,1,0,0,0,0,0,0,0.333333333333333,2
"23",36,"LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat",6,0.166666666666667,1,0.666666666666667,4,0,0,0.166666666666667,1,0,0,0,0,0,0
"24",69,"LF69: Mortality or fitness reduction as a result of rearing in a hatchery environment leading to maladaptation to the wild environment. This is measured in a reduction in PNI.",6,0.166666666666667,1,0.166666666666667,1,0.333333333333333,2,0,0,0,0,0,0,0.333333333333333,2
"25",7,"LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat",6,0.166666666666667,1,0.166666666666667,1,0,0,0.166666666666667,1,0.333333333333333,2,0.166666666666667,1,0,0
"26",4,"LF4: Mortality or fitness reduction as a result of disease, parasites, or pathogens",6,0.166666666666667,1,0,0,0,0,0,0,0,0,0,0,0.833333333333333,5
"27",37,"LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat",6,0,0,0.666666666666667,4,0,0,0.166666666666667,1,0,0,0,0,0.166666666666667,1
"28",50,"LF50: Mortality or fitness reduction as a result of stress due to anthropogenic activity",6,0,0,0.166666666666667,1,0.333333333333333,2,0,0,0.5,3,0,0,0,0
"29",8,"LF8: Pre-spawn mortality or fitness reduction due to reduced quantity of spawning habitat",6,0,0,0.166666666666667,1,0,0,0.166666666666667,1,0.333333333333333,2,0.333333333333333,2,0,0
"30",9,"LF9: Mortality or fitness reduction due to fishing",6,0,0,0,0,0,0,0,0,0.666666666666667,4,0.333333333333333,2,0,0
"31",10,"LF10: Mortality or fitness reduction of wild fish due to competition with hatchery fish or aquaculture escapees for spawning locations or mates",6,0,0,0,0,0,0,0,0,0.166666666666667,1,0.833333333333333,5,0,0
"32",16,"LF16: Mortality due to elevated levels of predation of eggs and alevin",6,0,0,0,0,0,0,0,0,0.166666666666667,1,0.833333333333333,5,0,0
"33",17,"LF17: Mortality or fitness reduction due to predation by or presence of invasive species",6,0,0,0,0,0,0,0,0,0.166666666666667,1,0.833333333333333,5,0,0
"34",18,"LF18: Mortality due to redd disturbance by humans",6,0,0,0,0,0,0,0,0,0.166666666666667,1,0.833333333333333,5,0,0
"35",20,"LF20: Mortality or fitness reduction due to redd overspawn",6,0,0,0,0,0,0,0,0,0.166666666666667,1,0.833333333333333,5,0,0
"36",32,"LF32: Mortality or fitness reduction as a result of stress due to anthropogenic activity",6,0,0,0,0,0,0,0,0,0.166666666666667,1,0.833333333333333,5,0,0
"37",34,"LF34: Mortality or fitness reduction due to competition from invasive species",6,0,0,0,0,0,0,0,0,0.166666666666667,1,0.833333333333333,5,0,0
"38",41,"LF41: Mortality or fitness reduction as a result of competition with hatchery fry",6,0,0,0,0,0,0,0,0,0.166666666666667,1,0.833333333333333,5,0,0
"39",42,"LF42: Mortality or fitness reduction due to unfavourable water temperatures",6,0,0,0,0,0,0,0,0,0.166666666666667,1,0.833333333333333,5,0,0
"40",47,"LF47: Mortality or fitness reduction due to elevated predation",6,0,0,0,0,0,0,0,0,0.166666666666667,1,0.833333333333333,5,0,0
"41",48,"LF48: Mortality or fitness reduction due to predation by invasive species",6,0,0,0,0,0,0,0,0,0.166666666666667,1,0.833333333333333,5,0,0
"42",53,"LF53: Mortality or fitness reduction due to increased frequency and magnitude of algal blooms",6,0,0,0,0,0,0,0,0,0.166666666666667,1,0.833333333333333,5,0,0
"43",2,"LF2:  Mortality or fitness reduction increased exposure to terrestrial predation",6,0,0,0,0,0,0,0,0,0,0,1,6,0,0
"44",3,"LF3: Mortality or fitness reduction as a result of stress due to anthropogenic activity (non fishing)",6,0,0,0,0,0,0,0,0,0,0,1,6,0,0
"45",5,"LF5: Mortality or fitness reduction due to competition with invasive species",6,0,0,0,0,0,0,0,0,0,0,1,6,0,0
"46",12,"LF12: Mortality or fitness reduction as a result of low dissolved oxygen",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
"47",13,"LF13: Mortality or fitness reduction as a result of poor pH levels",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
"48",14,"LF14: Mortality or fitness reduction as a result of changes to salinity",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
"49",15,"LF15: Mortality or fitness reduction due to deleterious substances",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
"50",26,"LF26: Mortality or fitness reduction due to unfavourable water temperatures",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
"51",27,"LF27: Mortality or fitness reduction as a result of low dissolved oxygen",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
"52",28,"LF28: Mortality or fitness reduction as a result of poor pH levels",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
"53",29,"LF29: Mortality or fitness reduction due to deleterious substances",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
"54",30,"LF30: Mortality or fitness reduction as a result of elevated predation",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
"55",31,"LF31: Mortality or fitness reduction due to elevated predation as a result of enhancement of predatory fish species",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
"56",33,"LF33: Mortality or fitness reduction as a result of disease, parasites, or pathogens",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
"57",43,"LF43: Mortality or fitness reduction as a result of low dissolved oxygen",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
"58",44,"LF44: Mortality or fitness reduction as a result of poor pH levels",6,0,0,0,0,0,0,0,0,0,0,0,0,1,6
