"","LF_Number","LF_Name","total_count","HPDG_total_prop","HPDG_total_count","VH_total_prop","VH_total_count","H_total_prop","H_total_count","M_total_prop","M_total_count","L_total_prop","L_total_count","VL_total_prop","VL_total_count","LPDG_total_prop","LPDG_total_count"
"1",39,"LF39: Mortality or fitness reduction from stranding in rearing habitat",8,1,8,0,0,0,0,0,0,0,0,0,0,0,0
"2",19,"LF19: Mortality or fitness reduction due to early alevin emergence",8,0.875,7,0,0,0,0,0,0,0,0,0,0,0.125,1
"3",22,"LF22: Mortality or fitness reduction resulting from frequent and higher peak flows causing redd scour",8,0.75,6,0.25,2,0,0,0,0,0,0,0,0,0,0
"4",67,"LF67: Mortality or fitness reduction due changes in biological characteristics such as fecundity, maturation rate, sex ratios, size at age, etc",8,0.75,6,0.25,2,0,0,0,0,0,0,0,0,0,0
"5",21,"LF21: Mortality or fitness reduction due to dewatered redds at low flows",8,0.75,6,0,0,0.25,2,0,0,0,0,0,0,0,0
"6",51,"LF51: Mortality or fitness reduction as a result of disease, parasites, or pathogens",8,0.75,6,0,0,0,0,0,0,0,0,0.25,2,0,0
"7",61,"LF61: Mortality or fitness reduction due to unfavourable water temperatures",8,0.75,6,0,0,0,0,0,0,0,0,0.25,2,0,0
"8",25,"LF25: Mortality or fitness reduction due to lower quality spawning gravel",8,0.75,6,0,0,0,0,0,0,0,0,0,0,0.25,2
"9",35,"LF35: Mortality or fitness reduction as a result of lack of access to appropriate food",8,0.75,6,0,0,0,0,0,0,0,0,0,0,0.25,2
"10",70,"LF70: Mortality or fitness reduction due to negative effects of small population size - including inbreeding depression and gene flow",8,0.625,5,0,0,0,0,0,0,0,0,0.25,2,0.125,1
"11",38,"LF38: Mortality or fitness reduction as a result of decreased access to or quality of floodplain habitat",8,0.5,4,0.125,1,0.25,2,0.125,1,0,0,0,0,0,0
"12",58,"LF58: Mortality or fitness reduction due to reduction in quality of vegetation habitat",8,0.5,4,0.125,1,0.25,2,0,0,0,0,0,0,0.125,1
"13",68,"LF68: Mortality or fitness reduction due to a reduction in natural (wild) genetic influence. This is measured by the stray rate (pHOSstray) into the system, or by the frequency and magnitude of direct transplanting.",8,0.375,3,0.375,3,0,0,0.125,1,0.125,1,0,0,0,0
"14",59,"LF59: Mortality or fitness reduction due to reduction in quantity of vegetation habitat",8,0.375,3,0.125,1,0.25,2,0,0,0,0,0,0,0.25,2
"15",1,"LF1: Mortality or fitness reduction due to predation from pinnipeds or other aquatic species",8,0.375,3,0,0,0.125,1,0.125,1,0,0,0.25,2,0.125,1
"16",54,"LF54: Mortality or fitness reduction due to reduction in quality of beach habitat",8,0.375,3,0,0,0.125,1,0.125,1,0,0,0.125,1,0.25,2
