"","LF_Number","LF_Name","total_count","VH_total_prop","VH_total_count","H_total_prop","H_total_count","M_total_prop","M_total_count","HPDG_total_prop","HPDG_total_count","L_total_prop","L_total_count","VL_total_prop","VL_total_count","LPDG_total_prop","LPDG_total_count"
"1",69,"LF69: Mortality or fitness reduction as a result of rearing in a hatchery environment leading to maladaptation to the wild environment. This is measured in a reduction in PNI.",4,0.75,3,0.25,1,0,0,0,0,0,0,0,0,0,0
"2",36,"LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat",4,0.5,2,0,0,0.5,2,0,0,0,0,0,0,0,0
"3",68,"LF68: Mortality or fitness reduction due to a reduction in natural (wild) genetic influence. This is measured by the stray rate (pHOSstray) into the system, or by the frequency and magnitude of direct transplanting.",4,0.5,2,0,0,0.25,1,0,0,0,0,0.25,1,0,0
"4",38,"LF38: Mortality or fitness reduction as a result of decreased access to or quality of floodplain habitat",4,0.25,1,0.5,2,0,0,0,0,0,0,0.25,1,0,0
"5",59,"LF59: Mortality or fitness reduction due to reduction in quantity of vegetation habitat",4,0.25,1,0.25,1,0,0,0.5,2,0,0,0,0,0,0
"6",37,"LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat",4,0.25,1,0,0,0.75,3,0,0,0,0,0,0,0,0
"7",9,"LF9: Mortality or fitness reduction due to fishing",4,0.25,1,0,0,0.5,2,0,0,0,0,0.25,1,0,0
"8",6,"LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity)",4,0.25,1,0,0,0.5,2,0,0,0,0,0,0,0.25,1
"9",67,"LF67: Mortality or fitness reduction due changes in biological characteristics such as fecundity, maturation rate, sex ratios, size at age, etc",4,0.25,1,0,0,0.25,1,0.25,1,0,0,0,0,0.25,1
"10",7,"LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat",4,0.25,1,0,0,0.25,1,0,0,0.25,1,0,0,0.25,1
"11",11,"LF11: Mortality or fitness reduction due to unfavourable water temperatures",4,0,0,0.25,1,0.5,2,0.25,1,0,0,0,0,0,0
"12",58,"LF58: Mortality or fitness reduction due to reduction in quality of vegetation habitat",4,0,0,0.25,1,0,0,0.75,3,0,0,0,0,0,0
"13",50,"LF50: Mortality or fitness reduction as a result of stress due to anthropogenic activity",4,0,0,0,0,0.75,3,0,0,0,0,0.25,1,0,0
"14",57,"LF57: Mortality or fitness reduction due to reduction in quantity channel habitat",4,0,0,0,0,0.5,2,0.5,2,0,0,0,0,0,0
"15",1,"LF1: Mortality or fitness reduction due to predation from pinnipeds or other aquatic species",4,0,0,0,0,0.5,2,0,0,0.25,1,0,0,0.25,1
