"","LF_Number","VH_total_count","H_total_count","M_total_count","L_total_count","VL_total_count","LPDG_total_count","HPDG_total_count","total_count","VH_total_prop","H_total_prop","M_total_prop","L_total_prop","VL_total_prop","LPDG_total_prop","HPDG_total_prop"
"1",6,2,3,2,0,3,0,0,10,0.2,0.3,0.2,0,0.3,0,0
"2",36,2,1,0,0,3,0,4,10,0.2,0.1,0,0,0.3,0,0.4
"3",37,2,1,0,0,3,0,4,10,0.2,0.1,0,0,0.3,0,0.4
"4",22,2,0,0,0,1,0,7,10,0.2,0,0,0,0.1,0,0.7
"5",7,1,1,3,1,3,1,0,10,0.1,0.1,0.3,0.1,0.3,0.1,0
"6",51,1,1,1,2,0,0,5,10,0.1,0.1,0.1,0.2,0,0,0.5
"7",40,1,0,3,0,5,0,1,10,0.1,0,0.3,0,0.5,0,0.1
"8",8,1,0,2,1,5,1,0,10,0.1,0,0.2,0.1,0.5,0.1,0
"9",69,1,0,0,2,2,0,5,10,0.1,0,0,0.2,0.2,0,0.5
"10",68,1,0,0,0,0,0,9,10,0.1,0,0,0,0,0,0.9
"11",70,1,0,0,0,0,0,9,10,0.1,0,0,0,0,0,0.9
"12",67,0,4,1,0,0,0,5,10,0,0.4,0.1,0,0,0,0.5
"13",38,0,2,0,0,4,0,4,10,0,0.2,0,0,0.4,0,0.4
"14",58,0,1,2,0,0,0,7,10,0,0.1,0.2,0,0,0,0.7
"15",59,0,1,2,0,0,0,7,10,0,0.1,0.2,0,0,0,0.7
"16",25,0,1,1,0,1,0,7,10,0,0.1,0.1,0,0.1,0,0.7
"17",39,0,1,0,3,4,0,2,10,0,0.1,0,0.3,0.4,0,0.2
"18",1,0,0,2,4,4,0,0,10,0,0,0.2,0.4,0.4,0,0
"19",11,0,0,1,3,6,0,0,10,0,0,0.1,0.3,0.6,0,0
"20",9,0,0,0,2,8,0,0,10,0,0,0,0.2,0.8,0,0
"21",41,0,0,0,2,3,0,5,10,0,0,0,0.2,0.3,0,0.5
"22",2,0,0,0,0,10,0,0,10,0,0,0,0,1,0,0
"23",3,0,0,0,0,10,0,0,10,0,0,0,0,1,0,0
"24",5,0,0,0,0,10,0,0,10,0,0,0,0,1,0,0
"25",16,0,0,0,0,10,0,0,10,0,0,0,0,1,0,0
"26",17,0,0,0,0,10,0,0,10,0,0,0,0,1,0,0
"27",18,0,0,0,0,10,0,0,10,0,0,0,0,1,0,0
"28",21,0,0,0,0,10,0,0,10,0,0,0,0,1,0,0
"29",32,0,0,0,0,10,0,0,10,0,0,0,0,1,0,0
"30",34,0,0,0,0,10,0,0,10,0,0,0,0,1,0,0
"31",47,0,0,0,0,10,0,0,10,0,0,0,0,1,0,0
"32",48,0,0,0,0,10,0,0,10,0,0,0,0,1,0,0
"33",53,0,0,0,0,10,0,0,10,0,0,0,0,1,0,0
"34",50,0,0,0,0,9,1,0,10,0,0,0,0,0.9,0.1,0
"35",29,0,0,0,0,3,3,4,10,0,0,0,0,0.3,0.3,0.4
"36",65,0,0,0,0,3,0,7,10,0,0,0,0,0.3,0,0.7
"37",15,0,0,0,0,2,0,8,10,0,0,0,0,0.2,0,0.8
"38",45,0,0,0,0,2,4,4,10,0,0,0,0,0.2,0.4,0.4
"39",20,0,0,0,0,1,0,9,10,0,0,0,0,0.1,0,0.9
"40",4,0,0,0,0,0,0,10,10,0,0,0,0,0,0,1
"41",10,0,0,0,0,0,0,10,10,0,0,0,0,0,0,1
"42",12,0,0,0,0,0,10,0,10,0,0,0,0,0,1,0
"43",13,0,0,0,0,0,0,10,10,0,0,0,0,0,0,1
"44",14,0,0,0,0,0,0,10,10,0,0,0,0,0,0,1
"45",19,0,0,0,0,0,3,7,10,0,0,0,0,0,0.3,0.7
"46",26,0,0,0,0,0,0,10,10,0,0,0,0,0,0,1
"47",27,0,0,0,0,0,0,10,10,0,0,0,0,0,0,1
"48",28,0,0,0,0,0,0,10,10,0,0,0,0,0,0,1
"49",30,0,0,0,0,0,3,7,10,0,0,0,0,0,0.3,0.7
"50",31,0,0,0,0,0,10,0,10,0,0,0,0,0,1,0
"51",33,0,0,0,0,0,0,10,10,0,0,0,0,0,0,1
"52",35,0,0,0,0,0,0,10,10,0,0,0,0,0,0,1
"53",42,0,0,0,0,0,0,10,10,0,0,0,0,0,0,1
"54",43,0,0,0,0,0,0,10,10,0,0,0,0,0,0,1
"55",44,0,0,0,0,0,0,10,10,0,0,0,0,0,0,1
"56",46,0,0,0,0,0,10,0,10,0,0,0,0,0,1,0
"57",49,0,0,0,0,0,0,10,10,0,0,0,0,0,0,1
"58",52,0,0,0,0,0,0,10,10,0,0,0,0,0,0,1
"59",54,0,0,0,0,0,0,10,10,0,0,0,0,0,0,1
"60",55,0,0,0,0,0,0,10,10,0,0,0,0,0,0,1
"61",56,0,0,0,0,0,0,10,10,0,0,0,0,0,0,1
"62",57,0,0,0,0,0,0,10,10,0,0,0,0,0,0,1
"63",60,0,0,0,0,0,0,10,10,0,0,0,0,0,0,1
"64",61,0,0,0,0,0,0,10,10,0,0,0,0,0,0,1
"65",62,0,0,0,0,0,0,10,10,0,0,0,0,0,0,1
"66",63,0,0,0,0,0,0,10,10,0,0,0,0,0,0,1
"67",64,0,0,0,0,0,0,10,10,0,0,0,0,0,0,1
"68",66,0,0,0,0,0,10,0,10,0,0,0,0,0,1,0
