"","LF_Number","VH_total_count","H_total_count","M_total_count","L_total_count","VL_total_count","LPDG_total_count","HPDG_total_count","total_count","VH_total_prop","H_total_prop","M_total_prop","L_total_prop","VL_total_prop","LPDG_total_prop","HPDG_total_prop"
"1",36,4,0,1,0,0,0,1,6,0.666666666666667,0,0.166666666666667,0,0,0,0.166666666666667
"2",37,4,0,1,0,0,1,0,6,0.666666666666667,0,0.166666666666667,0,0,0.166666666666667,0
"3",68,3,0,1,0,0,0,2,6,0.5,0,0.166666666666667,0,0,0,0.333333333333333
"4",6,3,0,0,1,0,0,2,6,0.5,0,0,0.166666666666667,0,0,0.333333333333333
"5",50,1,2,0,3,0,0,0,6,0.166666666666667,0.333333333333333,0,0.5,0,0,0
"6",69,1,2,0,0,0,2,1,6,0.166666666666667,0.333333333333333,0,0,0,0.333333333333333,0.166666666666667
"7",58,1,1,0,0,0,1,3,6,0.166666666666667,0.166666666666667,0,0,0,0.166666666666667,0.5
"8",59,1,1,0,0,0,2,2,6,0.166666666666667,0.166666666666667,0,0,0,0.333333333333333,0.333333333333333
"9",8,1,0,1,2,2,0,0,6,0.166666666666667,0,0.166666666666667,0.333333333333333,0.333333333333333,0,0
"10",7,1,0,1,2,1,0,1,6,0.166666666666667,0,0.166666666666667,0.333333333333333,0.166666666666667,0,0.166666666666667
"11",38,1,0,1,0,0,0,4,6,0.166666666666667,0,0.166666666666667,0,0,0,0.666666666666667
"12",54,0,1,1,0,0,1,3,6,0,0.166666666666667,0.166666666666667,0,0,0.166666666666667,0.5
"13",55,0,1,1,0,0,1,3,6,0,0.166666666666667,0.166666666666667,0,0,0.166666666666667,0.5
"14",56,0,1,1,0,0,1,3,6,0,0.166666666666667,0.166666666666667,0,0,0.166666666666667,0.5
"15",57,0,1,1,0,0,1,3,6,0,0.166666666666667,0.166666666666667,0,0,0.166666666666667,0.5
"16",11,0,0,1,1,0,1,3,6,0,0,0.166666666666667,0.166666666666667,0,0.166666666666667,0.5
"17",1,0,0,1,0,1,1,3,6,0,0,0.166666666666667,0,0.166666666666667,0.166666666666667,0.5
"18",9,0,0,0,4,2,0,0,6,0,0,0,0.666666666666667,0.333333333333333,0,0
"19",10,0,0,0,1,5,0,0,6,0,0,0,0.166666666666667,0.833333333333333,0,0
"20",16,0,0,0,1,5,0,0,6,0,0,0,0.166666666666667,0.833333333333333,0,0
"21",17,0,0,0,1,5,0,0,6,0,0,0,0.166666666666667,0.833333333333333,0,0
"22",18,0,0,0,1,5,0,0,6,0,0,0,0.166666666666667,0.833333333333333,0,0
"23",20,0,0,0,1,5,0,0,6,0,0,0,0.166666666666667,0.833333333333333,0,0
"24",32,0,0,0,1,5,0,0,6,0,0,0,0.166666666666667,0.833333333333333,0,0
"25",34,0,0,0,1,5,0,0,6,0,0,0,0.166666666666667,0.833333333333333,0,0
"26",41,0,0,0,1,5,0,0,6,0,0,0,0.166666666666667,0.833333333333333,0,0
"27",42,0,0,0,1,5,0,0,6,0,0,0,0.166666666666667,0.833333333333333,0,0
"28",47,0,0,0,1,5,0,0,6,0,0,0,0.166666666666667,0.833333333333333,0,0
"29",48,0,0,0,1,5,0,0,6,0,0,0,0.166666666666667,0.833333333333333,0,0
"30",53,0,0,0,1,5,0,0,6,0,0,0,0.166666666666667,0.833333333333333,0,0
"31",2,0,0,0,0,6,0,0,6,0,0,0,0,1,0,0
"32",3,0,0,0,0,6,0,0,6,0,0,0,0,1,0,0
"33",5,0,0,0,0,6,0,0,6,0,0,0,0,1,0,0
"34",4,0,0,0,0,0,5,1,6,0,0,0,0,0,0.833333333333333,0.166666666666667
"35",12,0,0,0,0,0,6,0,6,0,0,0,0,0,1,0
"36",13,0,0,0,0,0,6,0,6,0,0,0,0,0,1,0
"37",14,0,0,0,0,0,6,0,6,0,0,0,0,0,1,0
"38",15,0,0,0,0,0,6,0,6,0,0,0,0,0,1,0
"39",19,0,0,0,0,0,0,6,6,0,0,0,0,0,0,1
"40",21,0,0,0,0,0,0,6,6,0,0,0,0,0,0,1
"41",22,0,0,0,0,0,0,6,6,0,0,0,0,0,0,1
"42",25,0,0,0,0,0,1,5,6,0,0,0,0,0,0.166666666666667,0.833333333333333
"43",26,0,0,0,0,0,6,0,6,0,0,0,0,0,1,0
"44",27,0,0,0,0,0,6,0,6,0,0,0,0,0,1,0
"45",28,0,0,0,0,0,6,0,6,0,0,0,0,0,1,0
"46",29,0,0,0,0,0,6,0,6,0,0,0,0,0,1,0
"47",30,0,0,0,0,0,6,0,6,0,0,0,0,0,1,0
"48",31,0,0,0,0,0,6,0,6,0,0,0,0,0,1,0
"49",33,0,0,0,0,0,6,0,6,0,0,0,0,0,1,0
"50",35,0,0,0,0,0,0,6,6,0,0,0,0,0,0,1
"51",39,0,0,0,0,0,0,6,6,0,0,0,0,0,0,1
"52",40,0,0,0,0,0,3,3,6,0,0,0,0,0,0.5,0.5
"53",43,0,0,0,0,0,6,0,6,0,0,0,0,0,1,0
"54",44,0,0,0,0,0,6,0,6,0,0,0,0,0,1,0
"55",45,0,0,0,0,0,6,0,6,0,0,0,0,0,1,0
"56",46,0,0,0,0,0,6,0,6,0,0,0,0,0,1,0
"57",49,0,0,0,0,0,6,0,6,0,0,0,0,0,1,0
"58",51,0,0,0,0,0,0,6,6,0,0,0,0,0,0,1
"59",52,0,0,0,0,0,6,0,6,0,0,0,0,0,1,0
"60",60,0,0,0,0,0,6,0,6,0,0,0,0,0,1,0
"61",61,0,0,0,0,0,0,6,6,0,0,0,0,0,0,1
"62",62,0,0,0,0,0,6,0,6,0,0,0,0,0,1,0
"63",63,0,0,0,0,0,6,0,6,0,0,0,0,0,1,0
"64",64,0,0,0,0,0,6,0,6,0,0,0,0,0,1,0
"65",65,0,0,0,0,0,6,0,6,0,0,0,0,0,1,0
"66",66,0,0,0,0,0,6,0,6,0,0,0,0,0,1,0
"67",67,0,0,0,0,0,0,6,6,0,0,0,0,0,0,1
"68",70,0,0,0,0,0,1,5,6,0,0,0,0,0,0.166666666666667,0.833333333333333
