"","LF_Number","total_prop_H","total_prop_VL","total_prop_L","total_prop_M","total_prop_VH","total_count_H","total_count_VL","total_count_L","total_count_M","total_count_VH","VH_total_prop","H_total_prop","M_total_prop","L_total_prop","VL_total_prop","VH_total_count","H_total_count","M_total_count","L_total_count","VL_total_count"
"1",1,0.5,0.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"2",2,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",3,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"4",5,0,0.5,0.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"5",6,0,0,0,0.5,0.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"6",7,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"7",8,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",9,0,0.5,0.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"9",10,0,0.5,0.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"10",11,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"11",16,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"12",17,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"13",18,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"14",20,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"15",21,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",22,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"17",32,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"18",33,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"19",34,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",36,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"21",37,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"22",38,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"23",40,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"24",41,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"25",42,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"26",47,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"27",48,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"28",50,0.5,0.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"29",51,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"30",53,0,0.5,0.5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"31",54,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"32",55,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"33",56,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"34",57,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"35",58,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"36",59,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"37",61,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"38",65,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",67,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"40",68,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"41",69,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"42",70,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
