"","LF_Number","VH_total_count","H_total_count","M_total_count","L_total_count","VL_total_count","LPDG_total_count","HPDG_total_count","total_count","VH_total_prop","H_total_prop","M_total_prop","L_total_prop","VL_total_prop","LPDG_total_prop","HPDG_total_prop"
"1",36,4,0,2,1,0,0,1,8,0.5,0,0.25,0.125,0,0,0.125
"2",37,4,0,2,1,0,1,0,8,0.5,0,0.25,0.125,0,0.125,0
"3",6,3,1,0,0,2,0,2,8,0.375,0.125,0,0,0.25,0,0.25
"4",68,3,0,1,1,0,0,3,8,0.375,0,0.125,0.125,0,0,0.375
"5",22,2,0,0,0,0,0,6,8,0.25,0,0,0,0,0,0.75
"6",67,2,0,0,0,0,0,6,8,0.25,0,0,0,0,0,0.75
"7",69,1,2,0,0,2,2,1,8,0.125,0.25,0,0,0.25,0.25,0.125
"8",58,1,0,2,0,0,1,4,8,0.125,0,0.25,0,0,0.125,0.5
"9",59,1,0,2,0,0,2,3,8,0.125,0,0.25,0,0,0.25,0.375
"10",50,0,1,3,0,4,0,0,8,0,0.125,0.375,0,0.5,0,0
"11",38,0,1,2,1,0,0,4,8,0,0.125,0.25,0.125,0,0,0.5
"12",56,0,1,0,2,0,2,3,8,0,0.125,0,0.25,0,0.25,0.375
"13",57,0,1,0,2,0,2,3,8,0,0.125,0,0.25,0,0.25,0.375
"14",54,0,1,0,1,1,2,3,8,0,0.125,0,0.125,0.125,0.25,0.375
"15",55,0,1,0,1,1,2,3,8,0,0.125,0,0.125,0.125,0.25,0.375
"16",21,0,0,2,0,0,0,6,8,0,0,0.25,0,0,0,0.75
"17",8,0,0,1,1,6,0,0,8,0,0,0.125,0.125,0.75,0,0
"18",7,0,0,1,1,5,0,1,8,0,0,0.125,0.125,0.625,0,0.125
"19",1,0,0,1,0,3,1,3,8,0,0,0.125,0,0.375,0.125,0.375
"20",40,0,0,0,2,0,3,3,8,0,0,0,0.25,0,0.375,0.375
"21",5,0,0,0,1,7,0,0,8,0,0,0,0.125,0.875,0,0
"22",9,0,0,0,1,7,0,0,8,0,0,0,0.125,0.875,0,0
"23",10,0,0,0,1,7,0,0,8,0,0,0,0.125,0.875,0,0
"24",41,0,0,0,1,7,0,0,8,0,0,0,0.125,0.875,0,0
"25",53,0,0,0,1,7,0,0,8,0,0,0,0.125,0.875,0,0
"26",11,0,0,0,1,3,1,3,8,0,0,0,0.125,0.375,0.125,0.375
"27",65,0,0,0,1,0,7,0,8,0,0,0,0.125,0,0.875,0
"28",2,0,0,0,0,8,0,0,8,0,0,0,0,1,0,0
"29",3,0,0,0,0,8,0,0,8,0,0,0,0,1,0,0
"30",16,0,0,0,0,8,0,0,8,0,0,0,0,1,0,0
"31",17,0,0,0,0,8,0,0,8,0,0,0,0,1,0,0
"32",18,0,0,0,0,8,0,0,8,0,0,0,0,1,0,0
"33",20,0,0,0,0,8,0,0,8,0,0,0,0,1,0,0
"34",32,0,0,0,0,8,0,0,8,0,0,0,0,1,0,0
"35",34,0,0,0,0,8,0,0,8,0,0,0,0,1,0,0
"36",42,0,0,0,0,8,0,0,8,0,0,0,0,1,0,0
"37",47,0,0,0,0,8,0,0,8,0,0,0,0,1,0,0
"38",48,0,0,0,0,8,0,0,8,0,0,0,0,1,0,0
"39",33,0,0,0,0,2,6,0,8,0,0,0,0,0.25,0.75,0
"40",51,0,0,0,0,2,0,6,8,0,0,0,0,0.25,0,0.75
"41",61,0,0,0,0,2,0,6,8,0,0,0,0,0.25,0,0.75
"42",70,0,0,0,0,2,1,5,8,0,0,0,0,0.25,0.125,0.625
"43",4,0,0,0,0,0,7,1,8,0,0,0,0,0,0.875,0.125
"44",12,0,0,0,0,0,8,0,8,0,0,0,0,0,1,0
"45",13,0,0,0,0,0,8,0,8,0,0,0,0,0,1,0
"46",14,0,0,0,0,0,8,0,8,0,0,0,0,0,1,0
"47",15,0,0,0,0,0,8,0,8,0,0,0,0,0,1,0
"48",19,0,0,0,0,0,1,7,8,0,0,0,0,0,0.125,0.875
"49",25,0,0,0,0,0,2,6,8,0,0,0,0,0,0.25,0.75
"50",26,0,0,0,0,0,8,0,8,0,0,0,0,0,1,0
"51",27,0,0,0,0,0,8,0,8,0,0,0,0,0,1,0
"52",28,0,0,0,0,0,8,0,8,0,0,0,0,0,1,0
"53",29,0,0,0,0,0,8,0,8,0,0,0,0,0,1,0
"54",30,0,0,0,0,0,8,0,8,0,0,0,0,0,1,0
"55",31,0,0,0,0,0,8,0,8,0,0,0,0,0,1,0
"56",35,0,0,0,0,0,2,6,8,0,0,0,0,0,0.25,0.75
"57",39,0,0,0,0,0,0,8,8,0,0,0,0,0,0,1
"58",43,0,0,0,0,0,8,0,8,0,0,0,0,0,1,0
"59",44,0,0,0,0,0,8,0,8,0,0,0,0,0,1,0
"60",45,0,0,0,0,0,8,0,8,0,0,0,0,0,1,0
"61",46,0,0,0,0,0,8,0,8,0,0,0,0,0,1,0
"62",49,0,0,0,0,0,8,0,8,0,0,0,0,0,1,0
"63",52,0,0,0,0,0,8,0,8,0,0,0,0,0,1,0
"64",60,0,0,0,0,0,8,0,8,0,0,0,0,0,1,0
"65",62,0,0,0,0,0,8,0,8,0,0,0,0,0,1,0
"66",63,0,0,0,0,0,8,0,8,0,0,0,0,0,1,0
"67",64,0,0,0,0,0,8,0,8,0,0,0,0,0,1,0
"68",66,0,0,0,0,0,8,0,8,0,0,0,0,0,1,0
