"","LF_Number","LF_Name","total_count","VH_total_prop","VH_total_count","H_total_prop","H_total_count","M_total_prop","M_total_count","HPDG_total_prop","HPDG_total_count","L_total_prop","L_total_count","VL_total_prop","VL_total_count","LPDG_total_prop","LPDG_total_count"
"1",36,"LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat",14,0.285714285714286,4,0.0714285714285714,1,0.142857142857143,2,0.285714285714286,4,0,0,0.214285714285714,3,0,0
"2",69,"LF69: Mortality or fitness reduction as a result of rearing in a hatchery environment leading to maladaptation to the wild environment. This is measured in a reduction in PNI.",14,0.285714285714286,4,0.0714285714285714,1,0,0,0.357142857142857,5,0.142857142857143,2,0.142857142857143,2,0,0
"3",6,"LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity)",14,0.214285714285714,3,0.214285714285714,3,0.285714285714286,4,0,0,0,0,0.214285714285714,3,0.0714285714285714,1
"4",37,"LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat",14,0.214285714285714,3,0.0714285714285714,1,0.214285714285714,3,0.285714285714286,4,0,0,0.214285714285714,3,0,0
"5",68,"LF68: Mortality or fitness reduction due to a reduction in natural (wild) genetic influence. This is measured by the stray rate (pHOSstray) into the system, or by the frequency and magnitude of direct transplanting.",14,0.214285714285714,3,0,0,0.0714285714285714,1,0.642857142857143,9,0,0,0.0714285714285714,1,0,0
"6",7,"LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat",14,0.142857142857143,2,0.0714285714285714,1,0.285714285714286,4,0,0,0.142857142857143,2,0.214285714285714,3,0.142857142857143,2
"7",22,"LF22: Mortality or fitness reduction resulting from frequent and higher peak flows causing redd scour",14,0.142857142857143,2,0,0,0.0714285714285714,1,0.714285714285714,10,0,0,0.0714285714285714,1,0,0
"8",67,"LF67: Mortality or fitness reduction due changes in biological characteristics such as fecundity, maturation rate, sex ratios, size at age, etc",14,0.0714285714285714,1,0.285714285714286,4,0.142857142857143,2,0.428571428571429,6,0,0,0,0,0.0714285714285714,1
"9",38,"LF38: Mortality or fitness reduction as a result of decreased access to or quality of floodplain habitat",14,0.0714285714285714,1,0.285714285714286,4,0,0,0.285714285714286,4,0,0,0.357142857142857,5,0,0
"10",59,"LF59: Mortality or fitness reduction due to reduction in quantity of vegetation habitat",14,0.0714285714285714,1,0.142857142857143,2,0.142857142857143,2,0.642857142857143,9,0,0,0,0,0,0
"11",51,"LF51: Mortality or fitness reduction as a result of disease, parasites, or pathogens",14,0.0714285714285714,1,0.0714285714285714,1,0.0714285714285714,1,0.642857142857143,9,0.142857142857143,2,0,0,0,0
"12",40,"LF40: Mortality or fitness reduction due to frequent and higher peak flows causing flushing",14,0.0714285714285714,1,0,0,0.214285714285714,3,0.0714285714285714,1,0,0,0.428571428571429,6,0.214285714285714,3
"13",8,"LF8: Pre-spawn mortality or fitness reduction due to reduced quantity of spawning habitat",14,0.0714285714285714,1,0,0,0.214285714285714,3,0,0,0.142857142857143,2,0.5,7,0.0714285714285714,1
"14",9,"LF9: Mortality or fitness reduction due to fishing",14,0.0714285714285714,1,0,0,0.142857142857143,2,0,0,0.142857142857143,2,0.642857142857143,9,0,0
"15",70,"LF70: Mortality or fitness reduction due to negative effects of small population size - including inbreeding depression and gene flow",14,0.0714285714285714,1,0,0,0,0,0.642857142857143,9,0.214285714285714,3,0.0714285714285714,1,0,0
"16",58,"LF58: Mortality or fitness reduction due to reduction in quality of vegetation habitat",14,0,0,0.142857142857143,2,0.142857142857143,2,0.714285714285714,10,0,0,0,0,0,0
"17",11,"LF11: Mortality or fitness reduction due to unfavourable water temperatures",14,0,0,0.0714285714285714,1,0.214285714285714,3,0.0714285714285714,1,0.214285714285714,3,0.428571428571429,6,0,0
"18",25,"LF25: Mortality or fitness reduction due to lower quality spawning gravel",14,0,0,0.0714285714285714,1,0.142857142857143,2,0.571428571428571,8,0.142857142857143,2,0.0714285714285714,1,0,0
"19",39,"LF39: Mortality or fitness reduction from stranding in rearing habitat",14,0,0,0.0714285714285714,1,0.0714285714285714,1,0.142857142857143,2,0.214285714285714,3,0.5,7,0,0
"20",1,"LF1: Mortality or fitness reduction due to predation from pinnipeds or other aquatic species",14,0,0,0,0,0.285714285714286,4,0,0,0.357142857142857,5,0.285714285714286,4,0.0714285714285714,1
"21",50,"LF50: Mortality or fitness reduction as a result of stress due to anthropogenic activity",14,0,0,0,0,0.214285714285714,3,0,0,0,0,0.714285714285714,10,0.0714285714285714,1
"22",57,"LF57: Mortality or fitness reduction due to reduction in quantity channel habitat",14,0,0,0,0,0.142857142857143,2,0.857142857142857,12,0,0,0,0,0,0
"23",52,"LF52: Mortality or fitness reduction as a result of lack of access to appropriate food",14,0,0,0,0,0.0714285714285714,1,0.928571428571429,13,0,0,0,0,0,0
"24",56,"LF56: Mortality or fitness reduction due to reduction in quality channel habitat",14,0,0,0,0,0.0714285714285714,1,0.928571428571429,13,0,0,0,0,0,0
"25",61,"LF61: Mortality or fitness reduction due to unfavourable water temperatures",14,0,0,0,0,0.0714285714285714,1,0.928571428571429,13,0,0,0,0,0,0
"26",62,"LF62: Mortality or fitness reduction as a result of low dissolved oxygen",14,0,0,0,0,0.0714285714285714,1,0.928571428571429,13,0,0,0,0,0,0
