"","LF_Number","total_prop_H","total_prop_M","total_prop_VL","total_prop_L","total_prop_VH","total_count_H","total_count_M","total_count_VL","total_count_L","total_count_VH","VH_total_prop","H_total_prop","M_total_prop","L_total_prop","VL_total_prop","VH_total_count","H_total_count","M_total_count","L_total_count","VL_total_count"
"1",1,0.25,0.25,0.5,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0
"2",2,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"3",3,0,0,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
"4",5,0,0,0.875,0.125,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0
"5",6,0,0.166666666666667,0,0.166666666666667,0.666666666666667,0,1,0,1,4,0,0,0,0,0,0,0,0,0,0
"6",7,0,0.142857142857143,0.428571428571429,0.285714285714286,0.142857142857143,0,1,3,2,1,0,0,0,0,0,0,0,0,0,0
"7",8,0,0.125,0.5,0.25,0.125,0,1,4,2,1,0,0,0,0,0,0,0,0,0,0
"8",9,0,0,0.375,0.625,0,0,0,3,5,0,0,0,0,0,0,0,0,0,0,0
"9",10,0,0,0.75,0.25,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0
"10",11,0,0.25,0.5,0.25,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0
"11",16,0,0,0.875,0.125,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0
"12",17,0,0,0.875,0.125,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0
"13",18,0,0,0.875,0.125,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0
"14",20,0,0,0.875,0.125,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0
"15",21,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",22,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"17",32,0,0,0.875,0.125,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0
"18",33,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"19",34,0,0,0.875,0.125,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0
"20",36,0.285714285714286,0.142857142857143,0,0,0.571428571428571,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0
"21",37,0.285714285714286,0.142857142857143,0,0,0.571428571428571,2,1,0,0,4,0,0,0,0,0,0,0,0,0,0
"22",38,0.5,0.25,0,0,0.25,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0
"23",40,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
"24",41,0,0,0.875,0.125,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0
"25",42,0,0,0.875,0.125,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0
"26",47,0,0,0.875,0.125,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0
"27",48,0,0,0.875,0.125,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0
"28",50,0.375,0,0.125,0.375,0.125,3,0,1,3,1,0,0,0,0,0,0,0,0,0,0
"29",51,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"30",53,0,0,0.75,0.25,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0
"31",54,0.333333333333333,0.333333333333333,0.333333333333333,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"32",55,0.333333333333333,0.333333333333333,0.333333333333333,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"33",56,0.333333333333333,0.333333333333333,0.333333333333333,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"34",57,0.333333333333333,0.333333333333333,0.333333333333333,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"35",58,0.666666666666667,0,0,0,0.333333333333333,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"36",59,0.666666666666667,0,0,0,0.333333333333333,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"37",61,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"38",65,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"39",67,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
"40",68,0,0.2,0,0.2,0.6,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0
"41",69,0.4,0,0.4,0,0.2,2,0,2,0,1,0,0,0,0,0,0,0,0,0,0
"42",70,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
