"","LF_Number","VH_total_count","H_total_count","M_total_count","L_total_count","VL_total_count","LPDG_total_count","HPDG_total_count","total_count","VH_total_prop","H_total_prop","M_total_prop","L_total_prop","VL_total_prop","LPDG_total_prop","HPDG_total_prop"
"1",6,6,3,1,2,1,1,0,14,0.428571428571429,0.214285714285714,0.0714285714285714,0.142857142857143,0.0714285714285714,0.0714285714285714,0
"2",67,5,2,0,0,0,1,6,14,0.357142857142857,0.142857142857143,0,0,0,0.0714285714285714,0.428571428571429
"3",7,4,3,1,1,3,2,0,14,0.285714285714286,0.214285714285714,0.0714285714285714,0.0714285714285714,0.214285714285714,0.142857142857143,0
"4",36,4,3,0,1,2,0,4,14,0.285714285714286,0.214285714285714,0,0.0714285714285714,0.142857142857143,0,0.285714285714286
"5",37,3,3,1,2,1,0,4,14,0.214285714285714,0.214285714285714,0.0714285714285714,0.142857142857143,0.0714285714285714,0,0.285714285714286
"6",69,3,1,3,0,2,0,5,14,0.214285714285714,0.0714285714285714,0.214285714285714,0,0.142857142857143,0,0.357142857142857
"7",38,3,1,1,4,1,0,4,14,0.214285714285714,0.0714285714285714,0.0714285714285714,0.285714285714286,0.0714285714285714,0,0.285714285714286
"8",59,2,3,0,0,0,0,9,14,0.142857142857143,0.214285714285714,0,0,0,0,0.642857142857143
"9",11,2,2,3,6,0,0,1,14,0.142857142857143,0.142857142857143,0.214285714285714,0.428571428571429,0,0,0.0714285714285714
"10",8,2,2,1,2,6,1,0,14,0.142857142857143,0.142857142857143,0.0714285714285714,0.142857142857143,0.428571428571429,0.0714285714285714,0
"11",51,2,1,2,0,0,0,9,14,0.142857142857143,0.0714285714285714,0.142857142857143,0,0,0,0.642857142857143
"12",68,2,1,0,1,1,0,9,14,0.142857142857143,0.0714285714285714,0,0.0714285714285714,0.0714285714285714,0,0.642857142857143
"13",22,2,0,1,0,1,0,10,14,0.142857142857143,0,0.0714285714285714,0,0.0714285714285714,0,0.714285714285714
"14",40,1,3,0,4,2,3,1,14,0.0714285714285714,0.214285714285714,0,0.285714285714286,0.142857142857143,0.214285714285714,0.0714285714285714
"15",58,1,3,0,0,0,0,10,14,0.0714285714285714,0.214285714285714,0,0,0,0,0.714285714285714
"16",9,1,2,2,3,6,0,0,14,0.0714285714285714,0.142857142857143,0.142857142857143,0.214285714285714,0.428571428571429,0,0
"17",25,1,1,1,2,1,0,8,14,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.142857142857143,0.0714285714285714,0,0.571428571428571
"18",3,1,0,1,3,9,0,0,14,0.0714285714285714,0,0.0714285714285714,0.214285714285714,0.642857142857143,0,0
"19",61,1,0,0,0,0,0,13,14,0.0714285714285714,0,0,0,0,0,0.928571428571429
"20",50,0,3,0,9,1,1,0,14,0,0.214285714285714,0,0.642857142857143,0.0714285714285714,0.0714285714285714,0
