"","Stage","LF_Number","LF_Name","total_count","VH_total_prop","VH_total_count","H_total_prop","H_total_count","M_total_prop","M_total_count","HPDG_total_prop","HPDG_total_count","L_total_prop","L_total_count","VL_total_prop","VL_total_count","LPDG_total_prop","LPDG_total_count"
"1","Estuary Rearing",59,"LF59: Mortality or fitness reduction due to reduction in quantity of vegetation habitat",22,0.0909090909090909,2,0.0909090909090909,2,0.181818181818182,4,0.545454545454545,12,0,0,0,0,0.0909090909090909,2
"2","Estuary Rearing",58,"LF58: Mortality or fitness reduction due to reduction in quality of vegetation habitat",22,0.0454545454545455,1,0.0909090909090909,2,0.181818181818182,4,0.636363636363636,14,0,0,0,0,0.0454545454545455,1
"3","Estuary Rearing",51,"LF51: Mortality or fitness reduction as a result of disease, parasites, or pathogens",22,0.0454545454545455,1,0.0454545454545455,1,0.0454545454545455,1,0.681818181818182,15,0.0909090909090909,2,0.0909090909090909,2,0,0
"4","Estuary Rearing",50,"LF50: Mortality or fitness reduction as a result of stress due to anthropogenic activity",22,0,0,0.0454545454545455,1,0.272727272727273,6,0,0,0,0,0.636363636363636,14,0.0454545454545455,1
"5","Estuary Rearing",57,"LF57: Mortality or fitness reduction due to reduction in quantity channel habitat",22,0,0,0.0454545454545455,1,0.0909090909090909,2,0.681818181818182,15,0.0909090909090909,2,0,0,0.0909090909090909,2
"6","Estuary Rearing",56,"LF56: Mortality or fitness reduction due to reduction in quality channel habitat",22,0,0,0.0454545454545455,1,0.0454545454545455,1,0.727272727272727,16,0.0909090909090909,2,0,0,0.0909090909090909,2
"7","Estuary Rearing",54,"LF54: Mortality or fitness reduction due to reduction in quality of beach habitat",22,0,0,0.0454545454545455,1,0,0,0.727272727272727,16,0.0454545454545455,1,0.0909090909090909,2,0.0909090909090909,2
"8","Estuary Rearing",55,"LF55: Mortality or fitness reduction due to loss in quantity of beach habitat loss",22,0,0,0.0454545454545455,1,0,0,0.727272727272727,16,0.0454545454545455,1,0.0909090909090909,2,0.0909090909090909,2
"9","Estuary Rearing",61,"LF61: Mortality or fitness reduction due to unfavourable water temperatures",22,0,0,0,0,0.0454545454545455,1,0.863636363636364,19,0,0,0.0909090909090909,2,0,0
"10","Estuary Rearing",52,"LF52: Mortality or fitness reduction as a result of lack of access to appropriate food",22,0,0,0,0,0.0454545454545455,1,0.590909090909091,13,0,0,0,0,0.363636363636364,8
"11","Estuary Rearing",62,"LF62: Mortality or fitness reduction as a result of low dissolved oxygen",22,0,0,0,0,0.0454545454545455,1,0.590909090909091,13,0,0,0,0,0.363636363636364,8
"12","Estuary Rearing",47,"LF47: Mortality or fitness reduction due to elevated predation",22,0,0,0,0,0.0454545454545455,1,0,0,0,0,0.818181818181818,18,0.136363636363636,3
"13","Estuary Rearing",49,"LF49: Mortality or fitness reduction due to inter- and intra-specific competition",22,0,0,0,0,0,0,0.636363636363636,14,0,0,0,0,0.363636363636364,8
"14","Estuary Rearing",60,"LF60: Mortality or fitness reduction due to competition with hatchery fish",22,0,0,0,0,0,0,0.636363636363636,14,0,0,0,0,0.363636363636364,8
"15","Estuary Rearing",63,"LF63: Mortality or fitness reduction as a result of poor pH levels",22,0,0,0,0,0,0,0.636363636363636,14,0,0,0,0,0.363636363636364,8
"16","Estuary Rearing",64,"LF64: Mortality or fitness reduction due to increases in salinity",22,0,0,0,0,0,0,0.636363636363636,14,0,0,0,0,0.363636363636364,8
"17","Estuary Rearing",65,"LF65: Mortality or fitness reduction due to deleterious substances",22,0,0,0,0,0,0,0.318181818181818,7,0.0909090909090909,2,0.181818181818182,4,0.409090909090909,9
"18","Estuary Rearing",53,"LF53: Mortality or fitness reduction due to increased frequency and magnitude of algal blooms",22,0,0,0,0,0,0,0.136363636363636,3,0.0454545454545455,1,0.818181818181818,18,0,0
"19","Estuary Rearing",66,"LF66: Mortality or fitness reduction due to ingestion of microplastics",22,0,0,0,0,0,0,0.0454545454545455,1,0,0,0,0,0.954545454545455,21
"20","Estuary Rearing",48,"LF48: Mortality or fitness reduction due to predation by invasive species",22,0,0,0,0,0,0,0,0,0,0,0.863636363636364,19,0.136363636363636,3
