"","Stage","LF_Number","LF_Name","total_count","VH_total_prop","VH_total_count","H_total_prop","H_total_count","M_total_prop","M_total_count","HPDG_total_prop","HPDG_total_count","L_total_prop","L_total_count","VL_total_prop","VL_total_count","LPDG_total_prop","LPDG_total_count"
"1","Freshwater Rearing",36,"LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat",22,0.363636363636364,8,0.0454545454545455,1,0.181818181818182,4,0.227272727272727,5,0.0454545454545455,1,0.136363636363636,3,0,0
"2","Freshwater Rearing",37,"LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat",22,0.318181818181818,7,0.0454545454545455,1,0.227272727272727,5,0.181818181818182,4,0.0454545454545455,1,0.136363636363636,3,0.0454545454545455,1
"3","Freshwater Rearing",38,"LF38: Mortality or fitness reduction as a result of decreased access to or quality of floodplain habitat",22,0.0454545454545455,1,0.227272727272727,5,0.0909090909090909,2,0.363636363636364,8,0.0454545454545455,1,0.227272727272727,5,0,0
"4","Freshwater Rearing",40,"LF40: Mortality or fitness reduction due to frequent and higher peak flows causing flushing",22,0.0454545454545455,1,0,0,0.136363636363636,3,0.181818181818182,4,0.0909090909090909,2,0.272727272727273,6,0.272727272727273,6
"5","Freshwater Rearing",39,"LF39: Mortality or fitness reduction from stranding in rearing habitat",22,0,0,0.0454545454545455,1,0.0454545454545455,1,0.454545454545455,10,0.136363636363636,3,0.318181818181818,7,0,0
"6","Freshwater Rearing",30,"LF30: Mortality or fitness reduction as a result of elevated predation",22,0,0,0,0,0.0454545454545455,1,0.318181818181818,7,0.0454545454545455,1,0,0,0.590909090909091,13
"7","Freshwater Rearing",34,"LF34: Mortality or fitness reduction due to competition from invasive species",22,0,0,0,0,0.0454545454545455,1,0,0,0,0,0.954545454545455,21,0,0
"8","Freshwater Rearing",35,"LF35: Mortality or fitness reduction as a result of lack of access to appropriate food",22,0,0,0,0,0,0,0.863636363636364,19,0.0454545454545455,1,0,0,0.0909090909090909,2
"9","Freshwater Rearing",42,"LF42: Mortality or fitness reduction due to unfavourable water temperatures",22,0,0,0,0,0,0,0.636363636363636,14,0,0,0.363636363636364,8,0,0
"10","Freshwater Rearing",43,"LF43: Mortality or fitness reduction as a result of low dissolved oxygen",22,0,0,0,0,0,0,0.636363636363636,14,0,0,0,0,0.363636363636364,8
"11","Freshwater Rearing",44,"LF44: Mortality or fitness reduction as a result of poor pH levels",22,0,0,0,0,0,0,0.636363636363636,14,0,0,0,0,0.363636363636364,8
"12","Freshwater Rearing",33,"LF33: Mortality or fitness reduction as a result of disease, parasites, or pathogens",22,0,0,0,0,0,0,0.590909090909091,13,0.0454545454545455,1,0.0909090909090909,2,0.272727272727273,6
"13","Freshwater Rearing",41,"LF41: Mortality or fitness reduction as a result of competition with hatchery fry",22,0,0,0,0,0,0,0.363636363636364,8,0.136363636363636,3,0.5,11,0,0
"14","Freshwater Rearing",45,"LF45: Mortality or fitness reduction as a result of deleterious substances",22,0,0,0,0,0,0,0.363636363636364,8,0,0,0.0909090909090909,2,0.545454545454545,12
"15","Freshwater Rearing",32,"LF32: Mortality or fitness reduction as a result of stress due to anthropogenic activity",22,0,0,0,0,0,0,0,0,0,0,1,22,0,0
"16","Freshwater Rearing",46,"LF46: Mortality or fitness reduction due to ingestion of microplastics in lake environments",22,0,0,0,0,0,0,0,0,0,0,0.0454545454545455,1,0.954545454545455,21
"17","Freshwater Rearing",31,"LF31: Mortality or fitness reduction due to elevated predation as a result of enhancement of predatory fish species",22,0,0,0,0,0,0,0,0,0,0,0,0,1,22
