"","LF_Number","VH_total_count","H_total_count","M_total_count","L_total_count","VL_total_count","LPDG_total_count","HPDG_total_count","total_count","VH_total_prop","H_total_prop","M_total_prop","L_total_prop","VL_total_prop","LPDG_total_prop","HPDG_total_prop"
"1",6,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"2",22,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"3",67,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"4",1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"5",21,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"6",36,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"7",37,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"8",38,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"9",68,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"10",5,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"11",10,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"12",40,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"13",53,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"14",2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"15",3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"16",7,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"17",8,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"18",9,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"19",11,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"20",16,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"21",17,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"22",18,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"23",20,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"24",32,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"25",33,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"26",34,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"27",41,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"28",42,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"29",47,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"30",48,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"31",50,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"32",51,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"33",61,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"34",69,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"35",4,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"36",12,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"37",13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"38",14,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"39",15,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"40",19,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"41",25,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"42",26,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"43",27,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"44",28,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"45",29,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"46",30,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"47",31,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"48",35,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"49",39,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"50",43,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"51",44,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"52",45,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"53",46,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"54",49,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"55",52,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"56",54,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"57",55,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"58",56,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"59",57,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"60",58,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"61",59,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"62",60,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"63",62,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"64",63,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"65",64,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"66",65,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"67",66,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
