"","LF_Number","VH_total_count","H_total_count","M_total_count","L_total_count","VL_total_count","LPDG_total_count","HPDG_total_count","total_count","VH_total_prop","H_total_prop","M_total_prop","L_total_prop","VL_total_prop","LPDG_total_prop","HPDG_total_prop"
"1",36,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"2",37,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"3",38,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"4",51,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"5",67,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"6",6,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"7",7,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"8",8,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"9",40,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"10",58,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"11",59,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"12",11,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"13",41,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"14",69,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"15",1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"16",2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"17",3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"18",5,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"19",9,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"20",16,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"21",17,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"22",18,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"23",21,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"24",32,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"25",34,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"26",47,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"27",48,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"28",50,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"29",53,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"30",4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"31",10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"32",12,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"33",13,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"34",14,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"35",15,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"36",19,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"37",20,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"38",22,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"39",25,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"40",26,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"41",27,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"42",28,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"43",29,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"44",30,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"45",31,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"46",33,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"47",35,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"48",39,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"49",42,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"50",43,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"51",44,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"52",45,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"53",46,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"54",49,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"55",52,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"56",54,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"57",55,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"58",56,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"59",57,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"60",60,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"61",61,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"62",62,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"63",63,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"64",64,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"65",65,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"66",66,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"67",68,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"68",70,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
