"","LF_Number","VH_total_count","H_total_count","M_total_count","L_total_count","VL_total_count","LPDG_total_count","HPDG_total_count","total_count","VH_total_prop","H_total_prop","M_total_prop","L_total_prop","VL_total_prop","LPDG_total_prop","HPDG_total_prop"
"1",6,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"2",36,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"3",37,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"4",68,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"5",7,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"6",8,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"7",2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"8",3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"9",5,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"10",9,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"11",10,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"12",16,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"13",17,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"14",18,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"15",20,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"16",32,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"17",34,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"18",41,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"19",42,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"20",47,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"21",48,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"22",50,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"23",53,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"24",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"25",4,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"26",11,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"27",12,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"28",13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"29",14,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"30",15,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"31",19,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"32",21,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"33",22,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"34",25,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"35",26,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"36",27,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"37",28,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"38",29,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"39",30,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"40",31,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"41",33,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"42",35,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"43",38,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"44",39,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"45",40,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"46",43,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"47",44,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"48",45,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"49",46,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"50",49,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"51",51,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"52",52,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"53",54,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"54",55,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"55",56,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"56",57,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"57",58,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"58",59,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"59",60,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"60",61,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"61",62,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"62",63,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"63",64,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"64",65,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"65",66,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"66",67,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"67",69,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"68",70,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
