"","LF_Number","VH_total_count","H_total_count","M_total_count","L_total_count","VL_total_count","LPDG_total_count","HPDG_total_count","total_count","VH_total_prop","H_total_prop","M_total_prop","L_total_prop","VL_total_prop","LPDG_total_prop","HPDG_total_prop"
"1",6,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"2",25,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"3",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"4",2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"5",3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"6",5,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"7",9,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"8",11,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"9",16,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"10",17,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"11",18,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"12",21,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"13",29,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"14",32,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"15",34,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"16",38,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"17",39,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"18",40,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"19",41,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"20",47,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"21",48,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"22",50,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"23",53,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"24",65,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"25",4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"26",7,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"27",8,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"28",10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"29",12,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"30",13,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"31",14,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"32",15,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"33",19,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"34",20,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"35",22,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"36",26,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"37",27,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"38",28,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"39",30,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"40",31,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"41",33,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"42",35,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"43",36,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"44",37,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"45",42,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"46",43,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"47",44,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"48",45,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"49",46,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"50",49,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"51",51,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"52",52,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"53",54,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"54",55,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"55",56,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"56",57,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"57",58,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"58",59,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"59",60,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"60",61,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"61",62,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"62",63,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"63",64,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"64",66,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"65",67,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"66",68,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"67",69,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"68",70,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
