"","LF_Number","VH_total_count","H_total_count","M_total_count","L_total_count","VL_total_count","LPDG_total_count","HPDG_total_count","total_count","VH_total_prop","H_total_prop","M_total_prop","L_total_prop","VL_total_prop","LPDG_total_prop","HPDG_total_prop"
"1",6,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"2",36,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"3",37,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"4",68,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"5",69,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"6",7,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"7",8,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"8",11,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"9",41,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"10",1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"11",2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"12",3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"13",5,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"14",9,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"15",10,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"16",16,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"17",17,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"18",18,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"19",20,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"20",32,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"21",34,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"22",42,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"23",47,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"24",48,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"25",50,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"26",53,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"27",4,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"28",12,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"29",13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"30",14,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"31",15,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"32",19,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"33",21,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"34",22,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"35",25,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"36",26,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"37",27,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"38",28,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"39",29,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"40",30,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"41",31,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"42",33,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"43",35,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"44",38,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"45",39,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"46",40,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"47",43,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"48",44,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"49",45,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"50",46,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"51",49,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"52",51,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"53",52,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"54",54,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"55",55,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"56",56,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"57",57,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"58",58,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"59",59,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"60",60,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"61",61,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"62",62,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"63",63,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"64",64,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"65",65,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"66",66,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"67",67,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"68",70,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
