"","LF_Number","VH_total_count","H_total_count","M_total_count","L_total_count","VL_total_count","LPDG_total_count","HPDG_total_count","total_count","VH_total_prop","H_total_prop","M_total_prop","L_total_prop","VL_total_prop","LPDG_total_prop","HPDG_total_prop"
"1",36,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"2",37,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"3",51,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"4",67,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"5",6,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"6",7,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"7",8,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"8",11,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"9",40,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"10",58,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"11",59,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"12",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"13",41,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"14",69,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"15",2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"16",3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"17",5,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"18",9,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"19",16,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"20",17,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"21",18,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"22",21,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"23",32,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"24",34,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"25",47,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"26",48,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"27",50,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"28",53,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"29",4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"30",10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"31",12,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"32",13,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"33",14,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"34",15,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"35",19,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"36",20,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"37",22,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"38",25,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"39",26,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"40",27,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"41",28,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"42",29,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"43",30,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"44",31,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"45",33,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"46",35,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"47",38,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"48",39,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"49",42,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"50",43,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"51",44,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"52",45,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"53",46,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"54",49,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"55",52,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"56",54,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"57",55,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"58",56,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"59",57,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"60",60,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"61",61,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"62",62,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"63",63,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"64",64,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"65",65,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"66",66,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"67",68,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"68",70,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
