"","LF_Number","VH_total_count","H_total_count","M_total_count","L_total_count","VL_total_count","LPDG_total_count","HPDG_total_count","total_count","VH_total_prop","H_total_prop","M_total_prop","L_total_prop","VL_total_prop","LPDG_total_prop","HPDG_total_prop"
"1",22,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"2",67,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"3",21,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"4",36,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"5",37,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"6",38,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"7",50,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"8",58,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"9",59,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"10",9,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"11",40,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"12",56,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"13",57,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"14",65,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"15",1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"16",2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"17",3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"18",5,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"19",6,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"20",7,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"21",8,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"22",10,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"23",11,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"24",16,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"25",17,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"26",18,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"27",20,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"28",32,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"29",33,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"30",34,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"31",41,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"32",42,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"33",47,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"34",48,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"35",51,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"36",53,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"37",54,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"38",55,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"39",61,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"40",69,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"41",70,0,0,0,0,2,0,0,2,0,0,0,0,1,0,0
"42",4,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"43",12,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"44",13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"45",14,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"46",15,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"47",19,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"48",25,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"49",26,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"50",27,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"51",28,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"52",29,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"53",30,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"54",31,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"55",35,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"56",39,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"57",43,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"58",44,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"59",45,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"60",46,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"61",49,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"62",52,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"63",60,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"64",62,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"65",63,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"66",64,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"67",66,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"68",68,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
