"","LF_Number","VH_total_count","H_total_count","M_total_count","L_total_count","VL_total_count","LPDG_total_count","HPDG_total_count","total_count","VH_total_prop","H_total_prop","M_total_prop","L_total_prop","VL_total_prop","LPDG_total_prop","HPDG_total_prop"
"1",6,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"2",1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"3",7,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"4",8,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"5",39,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"6",2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"7",3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"8",5,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"9",9,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"10",11,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"11",16,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"12",17,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"13",18,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"14",20,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"15",21,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"16",32,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"17",34,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"18",40,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"19",47,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"20",48,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"21",50,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"22",53,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"23",4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"24",10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"25",12,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"26",13,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"27",14,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"28",15,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"29",19,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"30",22,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"31",25,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"32",26,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"33",27,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"34",28,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"35",29,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"36",30,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"37",31,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"38",33,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"39",35,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"40",36,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"41",37,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"42",38,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"43",41,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"44",42,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"45",43,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"46",44,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"47",45,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"48",46,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"49",49,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"50",51,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"51",52,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"52",54,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"53",55,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"54",56,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"55",57,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"56",58,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"57",59,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"58",60,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"59",61,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"60",62,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"61",63,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"62",64,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"63",65,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"64",66,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"65",67,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"66",68,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"67",69,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"68",70,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
