"","LF_Number","VH_total_count","H_total_count","M_total_count","L_total_count","VL_total_count","LPDG_total_count","HPDG_total_count","total_count","VH_total_prop","H_total_prop","M_total_prop","L_total_prop","VL_total_prop","LPDG_total_prop","HPDG_total_prop"
"1",6,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"2",67,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"3",68,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"4",69,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"5",1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"6",3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"7",9,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"8",11,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"9",36,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"10",37,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"11",50,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"12",2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"13",5,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"14",70,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"15",8,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"16",20,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"17",21,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"18",32,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"19",34,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"20",38,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"21",39,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"22",4,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"23",7,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"24",10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"25",12,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"26",13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"27",14,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"28",15,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"29",16,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"30",17,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"31",18,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"32",19,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"33",22,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"34",25,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"35",26,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"36",27,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"37",28,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"38",29,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"39",30,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"40",31,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"41",33,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"42",35,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"43",40,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"44",41,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"45",42,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"46",43,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"47",44,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"48",45,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"49",46,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"50",47,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"51",48,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"52",49,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"53",51,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"54",52,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"55",53,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"56",54,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"57",55,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"58",56,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"59",57,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"60",58,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"61",59,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"62",60,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"63",61,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"64",62,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"65",63,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"66",64,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"67",65,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"68",66,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
