"","LF_Number","VH_total_count","H_total_count","M_total_count","L_total_count","VL_total_count","LPDG_total_count","HPDG_total_count","total_count","VH_total_prop","H_total_prop","M_total_prop","L_total_prop","VL_total_prop","LPDG_total_prop","HPDG_total_prop"
"1",6,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"2",7,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"3",8,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"4",22,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"5",39,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"6",1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"7",2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"8",3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"9",5,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"10",9,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"11",11,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"12",16,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"13",17,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"14",18,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"15",21,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"16",32,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"17",34,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"18",47,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"19",48,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"20",50,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"21",53,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"22",4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"23",10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"24",12,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"25",13,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"26",14,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"27",15,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"28",19,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"29",20,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"30",25,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"31",26,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"32",27,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"33",28,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"34",29,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"35",30,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"36",31,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"37",33,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"38",35,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"39",36,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"40",37,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"41",38,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"42",40,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"43",41,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"44",42,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"45",43,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"46",44,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"47",45,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"48",46,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"49",49,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"50",51,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"51",52,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"52",54,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"53",55,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"54",56,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"55",57,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"56",58,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"57",59,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"58",60,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"59",61,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"60",62,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"61",63,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"62",64,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"63",65,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"64",66,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"65",67,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"66",68,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"67",69,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"68",70,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
