"","LF_Number","VH_total_count","H_total_count","M_total_count","L_total_count","VL_total_count","LPDG_total_count","HPDG_total_count","total_count","VH_total_prop","H_total_prop","M_total_prop","L_total_prop","VL_total_prop","LPDG_total_prop","HPDG_total_prop"
"1",7,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"2",36,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"3",37,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"4",38,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"5",58,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"6",59,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"7",69,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"8",1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"9",6,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"10",11,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"11",16,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"12",20,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"13",22,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"14",30,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"15",47,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"16",52,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"17",56,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"18",57,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"19",68,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"20",15,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"21",21,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"22",25,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"23",35,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"24",3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"25",8,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"26",9,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"27",10,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"28",12,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"29",17,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"30",32,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"31",34,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"32",39,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"33",41,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"34",46,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"35",48,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"36",50,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"37",53,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"38",54,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"39",55,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"40",65,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"41",70,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"42",2,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"43",4,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"44",5,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"45",13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"46",14,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"47",18,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"48",19,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"49",26,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"50",27,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"51",28,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"52",29,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"53",31,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"54",33,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"55",40,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"56",42,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"57",43,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"58",44,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"59",45,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"60",49,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"61",51,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"62",60,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"63",61,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"64",62,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"65",63,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"66",64,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"67",66,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"68",67,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
