"","LF_Number","VH_total_count","H_total_count","M_total_count","L_total_count","VL_total_count","LPDG_total_count","HPDG_total_count","total_count","VH_total_prop","H_total_prop","M_total_prop","L_total_prop","VL_total_prop","LPDG_total_prop","HPDG_total_prop"
"1",36,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"2",59,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"3",69,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"4",11,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"5",38,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"6",9,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"7",34,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"8",37,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"9",39,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"10",50,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"11",57,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"12",61,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"13",62,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"14",67,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"15",7,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"16",8,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"17",12,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"18",25,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"19",30,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"20",33,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"21",65,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"22",70,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"23",3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"24",15,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"25",19,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"26",32,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"27",40,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"28",68,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"29",1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"30",2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"31",4,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"32",5,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"33",6,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"34",10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"35",13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"36",14,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"37",16,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"38",17,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"39",18,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"40",20,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"41",21,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"42",22,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"43",26,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"44",27,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"45",28,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"46",29,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"47",31,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"48",35,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"49",41,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"50",42,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"51",43,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"52",44,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"53",45,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"54",46,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"55",47,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"56",48,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"57",49,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"58",51,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"59",52,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"60",53,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"61",54,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"62",55,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"63",56,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"64",58,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"65",60,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"66",63,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"67",64,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"68",66,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
