"","LF_Number","VH_total_count","H_total_count","M_total_count","L_total_count","VL_total_count","LPDG_total_count","HPDG_total_count","total_count","VH_total_prop","H_total_prop","M_total_prop","L_total_prop","VL_total_prop","LPDG_total_prop","HPDG_total_prop"
"1",36,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"2",37,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"3",50,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"4",2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"5",3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"6",5,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"7",7,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"8",8,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"9",9,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"10",10,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"11",16,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"12",17,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"13",18,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"14",20,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"15",32,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"16",34,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"17",41,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"18",42,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"19",47,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"20",48,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"21",53,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"22",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"23",4,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"24",6,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"25",11,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"26",12,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"27",13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"28",14,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"29",15,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"30",19,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"31",21,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"32",22,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"33",25,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"34",26,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"35",27,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"36",28,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"37",29,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"38",30,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"39",31,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"40",33,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"41",35,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"42",38,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"43",39,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"44",40,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"45",43,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"46",44,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"47",45,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"48",46,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"49",49,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"50",51,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"51",52,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"52",54,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"53",55,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"54",56,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"55",57,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"56",58,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"57",59,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"58",60,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"59",61,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"60",62,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"61",63,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"62",64,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"63",65,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"64",66,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"65",67,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"66",68,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"67",69,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"68",70,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
