"","LF_Number","VH_total_count","H_total_count","M_total_count","L_total_count","VL_total_count","LPDG_total_count","HPDG_total_count","total_count","VH_total_prop","H_total_prop","M_total_prop","L_total_prop","VL_total_prop","LPDG_total_prop","HPDG_total_prop"
"1",9,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"2",68,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"3",69,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"4",38,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"5",6,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"6",7,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"7",8,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"8",25,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"9",36,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"10",37,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"11",50,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"12",1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"13",70,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"14",3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"15",17,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"16",20,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"17",21,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"18",32,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"19",34,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"20",39,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"21",2,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"22",4,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"23",5,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"24",10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"25",11,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"26",12,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"27",13,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"28",14,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"29",15,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"30",16,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"31",18,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"32",19,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"33",22,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"34",26,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"35",27,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"36",28,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"37",29,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"38",30,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"39",31,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"40",33,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"41",35,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"42",40,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"43",41,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"44",42,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"45",43,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"46",44,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"47",45,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"48",46,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"49",47,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"50",48,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"51",49,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"52",51,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"53",52,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"54",53,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"55",54,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"56",55,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"57",56,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"58",57,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"59",58,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"60",59,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"61",60,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"62",61,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"63",62,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"64",63,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"65",64,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"66",65,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"67",66,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"68",67,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
