"","LF_Number","VH_total_count","H_total_count","M_total_count","L_total_count","VL_total_count","LPDG_total_count","HPDG_total_count","total_count","VH_total_prop","H_total_prop","M_total_prop","L_total_prop","VL_total_prop","LPDG_total_prop","HPDG_total_prop"
"1",40,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"2",68,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"3",69,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"4",70,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"5",6,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"6",25,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"7",36,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"8",37,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"9",38,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"10",39,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"11",58,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"12",59,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"13",1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"14",7,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"15",67,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0
"16",51,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"17",2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"18",3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"19",5,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"20",8,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"21",9,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"22",11,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"23",16,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"24",17,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"25",18,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"26",21,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"27",32,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"28",34,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"29",47,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"30",48,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"31",50,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"32",53,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"33",4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"34",10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"35",12,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"36",13,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"37",14,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"38",15,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"39",19,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"40",20,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"41",22,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"42",26,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"43",27,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"44",28,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"45",29,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"46",30,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"47",31,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"48",33,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"49",35,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"50",41,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"51",42,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"52",43,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"53",44,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"54",45,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"55",46,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"56",49,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"57",52,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"58",54,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"59",55,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"60",56,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"61",57,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"62",60,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"63",61,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"64",62,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"65",63,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"66",64,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"67",65,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"68",66,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
