"","LF_Number","VH_total_count","H_total_count","M_total_count","L_total_count","VL_total_count","LPDG_total_count","HPDG_total_count","total_count","VH_total_prop","H_total_prop","M_total_prop","L_total_prop","VL_total_prop","LPDG_total_prop","HPDG_total_prop"
"1",22,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"2",6,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"3",7,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
"4",9,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"5",11,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"6",39,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0
"7",2,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"8",3,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"9",5,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"10",8,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"11",16,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"12",17,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"13",18,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"14",21,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"15",32,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"16",34,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"17",40,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"18",47,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"19",48,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"20",53,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"21",4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"22",10,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"23",12,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"24",13,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"25",14,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"26",15,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"27",19,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"28",20,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"29",25,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"30",26,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"31",27,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"32",28,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"33",29,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"34",30,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"35",31,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"36",33,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"37",35,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"38",36,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"39",37,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"40",38,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"41",41,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"42",42,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"43",43,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"44",44,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"45",45,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"46",46,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"47",49,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"48",50,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"49",51,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"50",52,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"51",54,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"52",55,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"53",56,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"54",57,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"55",58,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"56",59,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"57",60,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"58",61,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"59",62,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"60",63,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"61",64,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"62",65,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"63",66,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"64",67,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"65",68,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"66",69,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"67",70,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
