"","LF_Number","LF_Name","total_count","VH_total_prop","VH_total_count","H_total_prop","H_total_count","M_total_prop","M_total_count","HPDG_total_prop","HPDG_total_count","L_total_prop","L_total_count","VL_total_prop","VL_total_count","LPDG_total_prop","LPDG_total_count"
"1",6,"LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity)",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"2",22,"LF22: Mortality or fitness reduction resulting from frequent and higher peak flows causing redd scour",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"3",67,"LF67: Mortality or fitness reduction due changes in biological characteristics such as fecundity, maturation rate, sex ratios, size at age, etc",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"4",1,"LF1: Mortality or fitness reduction due to predation from pinnipeds or other aquatic species",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"5",21,"LF21: Mortality or fitness reduction due to dewatered redds at low flows",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"6",36,"LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"7",37,"LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"8",38,"LF38: Mortality or fitness reduction as a result of decreased access to or quality of floodplain habitat",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"9",40,"LF40: Mortality or fitness reduction due to frequent and higher peak flows causing flushing",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"10",19,"LF19: Mortality or fitness reduction due to early alevin emergence",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"11",25,"LF25: Mortality or fitness reduction due to lower quality spawning gravel",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"12",39,"LF39: Mortality or fitness reduction from stranding in rearing habitat",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"13",58,"LF58: Mortality or fitness reduction due to reduction in quality of vegetation habitat",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"14",59,"LF59: Mortality or fitness reduction due to reduction in quantity of vegetation habitat",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"15",5,"LF5: Mortality or fitness reduction due to competition with invasive species",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"16",10,"LF10: Mortality or fitness reduction of wild fish due to competition with hatchery fish or aquaculture escapees for spawning locations or mates",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
