"","LF_Number","LF_Name","total_count","VH_total_prop","VH_total_count","H_total_prop","H_total_count","M_total_prop","M_total_count","HPDG_total_prop","HPDG_total_count","L_total_prop","L_total_count","VL_total_prop","VL_total_count","LPDG_total_prop","LPDG_total_count"
"1",68,"LF68: Mortality or fitness reduction due to a reduction in natural (wild) genetic influence. This is measured by the stray rate (pHOSstray) into the system, or by the frequency and magnitude of direct transplanting.",1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"2",50,"LF50: Mortality or fitness reduction as a result of stress due to anthropogenic activity",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"3",58,"LF58: Mortality or fitness reduction due to reduction in quality of vegetation habitat",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"4",59,"LF59: Mortality or fitness reduction due to reduction in quantity of vegetation habitat",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"5",69,"LF69: Mortality or fitness reduction as a result of rearing in a hatchery environment leading to maladaptation to the wild environment. This is measured in a reduction in PNI.",1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
"6",36,"LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"7",37,"LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"8",38,"LF38: Mortality or fitness reduction as a result of decreased access to or quality of floodplain habitat",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"9",54,"LF54: Mortality or fitness reduction due to reduction in quality of beach habitat",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"10",55,"LF55: Mortality or fitness reduction due to loss in quantity of beach habitat loss",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"11",56,"LF56: Mortality or fitness reduction due to reduction in quality channel habitat",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"12",57,"LF57: Mortality or fitness reduction due to reduction in quantity channel habitat",1,0,0,0,0,1,1,0,0,0,0,0,0,0,0
"13",4,"LF4: Mortality or fitness reduction as a result of disease, parasites, or pathogens",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"14",19,"LF19: Mortality or fitness reduction due to early alevin emergence",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"15",21,"LF21: Mortality or fitness reduction due to dewatered redds at low flows",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"16",22,"LF22: Mortality or fitness reduction resulting from frequent and higher peak flows causing redd scour",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"17",25,"LF25: Mortality or fitness reduction due to lower quality spawning gravel",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"18",35,"LF35: Mortality or fitness reduction as a result of lack of access to appropriate food",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"19",39,"LF39: Mortality or fitness reduction from stranding in rearing habitat",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"20",40,"LF40: Mortality or fitness reduction due to frequent and higher peak flows causing flushing",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"21",51,"LF51: Mortality or fitness reduction as a result of disease, parasites, or pathogens",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"22",61,"LF61: Mortality or fitness reduction due to unfavourable water temperatures",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"23",67,"LF67: Mortality or fitness reduction due changes in biological characteristics such as fecundity, maturation rate, sex ratios, size at age, etc",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"24",70,"LF70: Mortality or fitness reduction due to negative effects of small population size - including inbreeding depression and gene flow",1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"25",6,"LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity)",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"26",7,"LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"27",8,"LF8: Pre-spawn mortality or fitness reduction due to reduced quantity of spawning habitat",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"28",9,"LF9: Mortality or fitness reduction due to fishing",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"29",11,"LF11: Mortality or fitness reduction due to unfavourable water temperatures",1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"30",2,"LF2:  Mortality or fitness reduction increased exposure to terrestrial predation",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"31",3,"LF3: Mortality or fitness reduction as a result of stress due to anthropogenic activity (non fishing)",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"32",5,"LF5: Mortality or fitness reduction due to competition with invasive species",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"33",10,"LF10: Mortality or fitness reduction of wild fish due to competition with hatchery fish or aquaculture escapees for spawning locations or mates",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"34",16,"LF16: Mortality due to elevated levels of predation of eggs and alevin",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"35",17,"LF17: Mortality or fitness reduction due to predation by or presence of invasive species",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"36",18,"LF18: Mortality due to redd disturbance by humans",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"37",20,"LF20: Mortality or fitness reduction due to redd overspawn",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"38",32,"LF32: Mortality or fitness reduction as a result of stress due to anthropogenic activity",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"39",34,"LF34: Mortality or fitness reduction due to competition from invasive species",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"40",41,"LF41: Mortality or fitness reduction as a result of competition with hatchery fry",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"41",42,"LF42: Mortality or fitness reduction due to unfavourable water temperatures",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"42",47,"LF47: Mortality or fitness reduction due to elevated predation",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"43",48,"LF48: Mortality or fitness reduction due to predation by invasive species",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"44",53,"LF53: Mortality or fitness reduction due to increased frequency and magnitude of algal blooms",1,0,0,0,0,0,0,0,0,0,0,1,1,0,0
"45",1,"LF1: Mortality or fitness reduction due to predation from pinnipeds or other aquatic species",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"46",12,"LF12: Mortality or fitness reduction as a result of low dissolved oxygen",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"47",13,"LF13: Mortality or fitness reduction as a result of poor pH levels",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"48",14,"LF14: Mortality or fitness reduction as a result of changes to salinity",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"49",15,"LF15: Mortality or fitness reduction due to deleterious substances",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"50",26,"LF26: Mortality or fitness reduction due to unfavourable water temperatures",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"51",27,"LF27: Mortality or fitness reduction as a result of low dissolved oxygen",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"52",28,"LF28: Mortality or fitness reduction as a result of poor pH levels",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"53",29,"LF29: Mortality or fitness reduction due to deleterious substances",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"54",30,"LF30: Mortality or fitness reduction as a result of elevated predation",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"55",31,"LF31: Mortality or fitness reduction due to elevated predation as a result of enhancement of predatory fish species",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"56",33,"LF33: Mortality or fitness reduction as a result of disease, parasites, or pathogens",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"57",43,"LF43: Mortality or fitness reduction as a result of low dissolved oxygen",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"58",44,"LF44: Mortality or fitness reduction as a result of poor pH levels",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"59",45,"LF45: Mortality or fitness reduction as a result of deleterious substances",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
"60",46,"LF46: Mortality or fitness reduction due to ingestion of microplastics in lake environments",1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
