"","LF_Number","LF_Name","VH_total_count","H_total_count","M_total_count","HPDG_total_count","L_total_count","VL_total_count","LPDG_total_count"
"1",6,"LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity)",1,0,0,0,0,0,0
"2",1,"LF1: Mortality or fitness reduction due to predation from pinnipeds or other aquatic species",0,1,0,0,0,0,0
"3",39,"LF39: Mortality or fitness reduction from stranding in rearing habitat",0,0,1,0,0,0,0
"4",2,"LF2:  Mortality or fitness reduction increased exposure to terrestrial predation",0,0,0,0,1,0,0
"5",3,"LF3: Mortality or fitness reduction as a result of stress due to anthropogenic activity (non fishing)",0,0,0,0,1,0,0
"6",7,"LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat",0,0,0,0,1,0,0
"7",8,"LF8: Pre-spawn mortality or fitness reduction due to reduced quantity of spawning habitat",0,0,0,0,1,0,0
"8",9,"LF9: Mortality or fitness reduction due to fishing",0,0,0,0,1,0,0
"9",11,"LF11: Mortality or fitness reduction due to unfavourable water temperatures",0,0,0,0,1,0,0
"10",16,"LF16: Mortality due to elevated levels of predation of eggs and alevin",0,0,0,0,1,0,0
"11",17,"LF17: Mortality or fitness reduction due to predation by or presence of invasive species",0,0,0,0,1,0,0
"12",18,"LF18: Mortality due to redd disturbance by humans",0,0,0,0,1,0,0
"13",40,"LF40: Mortality or fitness reduction due to frequent and higher peak flows causing flushing",0,0,0,0,1,0,0
"14",50,"LF50: Mortality or fitness reduction as a result of stress due to anthropogenic activity",0,0,0,0,1,0,0
"15",5,"LF5: Mortality or fitness reduction due to competition with invasive species",0,0,0,0,0,1,0
"16",20,"LF20: Mortality or fitness reduction due to redd overspawn",0,0,0,0,0,1,0
"17",21,"LF21: Mortality or fitness reduction due to dewatered redds at low flows",0,0,0,0,0,1,0
"18",32,"LF32: Mortality or fitness reduction as a result of stress due to anthropogenic activity",0,0,0,0,0,1,0
"19",34,"LF34: Mortality or fitness reduction due to competition from invasive species",0,0,0,0,0,1,0
"20",47,"LF47: Mortality or fitness reduction due to elevated predation",0,0,0,0,0,1,0
"21",48,"LF48: Mortality or fitness reduction due to predation by invasive species",0,0,0,0,0,1,0
"22",53,"LF53: Mortality or fitness reduction due to increased frequency and magnitude of algal blooms",0,0,0,0,0,1,0
"23",12,"LF12: Mortality or fitness reduction as a result of low dissolved oxygen",0,0,0,0,0,0,1
"24",19,"LF19: Mortality or fitness reduction due to early alevin emergence",0,0,0,0,0,0,1
"25",29,"LF29: Mortality or fitness reduction due to deleterious substances",0,0,0,0,0,0,1
"26",31,"LF31: Mortality or fitness reduction due to elevated predation as a result of enhancement of predatory fish species",0,0,0,0,0,0,1
"27",45,"LF45: Mortality or fitness reduction as a result of deleterious substances",0,0,0,0,0,0,1
"28",46,"LF46: Mortality or fitness reduction due to ingestion of microplastics in lake environments",0,0,0,0,0,0,1
"29",66,"LF66: Mortality or fitness reduction due to ingestion of microplastics",0,0,0,0,0,0,1
"30",4,"LF4: Mortality or fitness reduction as a result of disease, parasites, or pathogens",0,0,0,1,0,0,0
"31",10,"LF10: Mortality or fitness reduction of wild fish due to competition with hatchery fish or aquaculture escapees for spawning locations or mates",0,0,0,1,0,0,0
"32",13,"LF13: Mortality or fitness reduction as a result of poor pH levels",0,0,0,1,0,0,0
