"","LF_Number","LF_Name","VH_total_count","H_total_count","M_total_count","HPDG_total_count","L_total_count","VL_total_count","LPDG_total_count"
"1",6,"LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity)",1,0,0,0,0,0,0
"2",7,"LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat",1,0,0,0,0,0,0
"3",8,"LF8: Pre-spawn mortality or fitness reduction due to reduced quantity of spawning habitat",1,0,0,0,0,0,0
"4",22,"LF22: Mortality or fitness reduction resulting from frequent and higher peak flows causing redd scour",1,0,0,0,0,0,0
"5",39,"LF39: Mortality or fitness reduction from stranding in rearing habitat",0,0,1,0,0,0,0
"6",9,"LF9: Mortality or fitness reduction due to fishing",0,0,0,0,1,0,0
"7",11,"LF11: Mortality or fitness reduction due to unfavourable water temperatures",0,0,0,0,1,0,0
"8",50,"LF50: Mortality or fitness reduction as a result of stress due to anthropogenic activity",0,0,0,0,1,0,0
"9",1,"LF1: Mortality or fitness reduction due to predation from pinnipeds or other aquatic species",0,0,0,0,0,1,0
"10",2,"LF2:  Mortality or fitness reduction increased exposure to terrestrial predation",0,0,0,0,0,1,0
"11",3,"LF3: Mortality or fitness reduction as a result of stress due to anthropogenic activity (non fishing)",0,0,0,0,0,1,0
"12",5,"LF5: Mortality or fitness reduction due to competition with invasive species",0,0,0,0,0,1,0
"13",16,"LF16: Mortality due to elevated levels of predation of eggs and alevin",0,0,0,0,0,1,0
"14",17,"LF17: Mortality or fitness reduction due to predation by or presence of invasive species",0,0,0,0,0,1,0
"15",18,"LF18: Mortality due to redd disturbance by humans",0,0,0,0,0,1,0
"16",21,"LF21: Mortality or fitness reduction due to dewatered redds at low flows",0,0,0,0,0,1,0
"17",32,"LF32: Mortality or fitness reduction as a result of stress due to anthropogenic activity",0,0,0,0,0,1,0
"18",34,"LF34: Mortality or fitness reduction due to competition from invasive species",0,0,0,0,0,1,0
"19",47,"LF47: Mortality or fitness reduction due to elevated predation",0,0,0,0,0,1,0
"20",48,"LF48: Mortality or fitness reduction due to predation by invasive species",0,0,0,0,0,1,0
"21",53,"LF53: Mortality or fitness reduction due to increased frequency and magnitude of algal blooms",0,0,0,0,0,1,0
"22",12,"LF12: Mortality or fitness reduction as a result of low dissolved oxygen",0,0,0,0,0,0,1
"23",19,"LF19: Mortality or fitness reduction due to early alevin emergence",0,0,0,0,0,0,1
"24",31,"LF31: Mortality or fitness reduction due to elevated predation as a result of enhancement of predatory fish species",0,0,0,0,0,0,1
