"","CU_ACRO","LF_Number","M","VL","L","H","VH","total_prop"
"1","NoKy",22,0,0,0,0,1,1
"2","NoKy",67,0,0,0,0,1,1
"3","SWVI",68,0.2,0.2,0,0,0.6,1
"4","NoKy",68,0.2,0,0.2,0,0.6,1
"5","NoKy",36,0.285714285714286,0,0.142857142857143,0,0.571428571428571,1
"6","NoKy",37,0.285714285714286,0,0.142857142857143,0,0.571428571428571,1
"7","NoKy",6,0,0.333333333333333,0,0.166666666666667,0.5,1
"8","SWVI",22,0.25,0.25,0,0,0.5,1
"9","SWVI",69,0,0.222222222222222,0.222222222222222,0.111111111111111,0.444444444444444,1
"10","SWVI",36,0.2,0.3,0,0.1,0.4,1
"11","NoKy",58,0.666666666666667,0,0,0,0.333333333333333,1
"12","NoKy",59,0.666666666666667,0,0,0,0.333333333333333,1
"13","SWVI",37,0.3,0.3,0,0.1,0.3,1
"14","SWVI",6,0.307692307692308,0.230769230769231,0,0.230769230769231,0.230769230769231,1
"15","SWVI",59,0.4,0,0,0.4,0.2,1
"16","NoKy",69,0,0.4,0,0.4,0.2,1
"17","SWVI",51,0.2,0,0.4,0.2,0.2,1
"18","SWVI",70,0,0.2,0.6,0,0.2,1
"19","SWVI",7,0.333333333333333,0.25,0.166666666666667,0.0833333333333333,0.166666666666667,1
"20","SWVI",67,0.285714285714286,0,0,0.571428571428571,0.142857142857143,1
"21","SWVI",38,0,0.5,0,0.4,0.1,1
"22","SWVI",40,0.3,0.6,0,0,0.1,1
"23","SWVI",8,0.230769230769231,0.538461538461539,0.153846153846154,0,0.0769230769230769,1
"24","SWVI",9,0.142857142857143,0.642857142857143,0.142857142857143,0,0.0714285714285714,1
"25","SWVI",58,0.5,0,0,0.5,0,1
"26","NoKy",56,0,0,0.666666666666667,0.333333333333333,0,1
"27","NoKy",57,0,0,0.666666666666667,0.333333333333333,0,1
"28","NoKy",54,0,0.333333333333333,0.333333333333333,0.333333333333333,0,1
"29","NoKy",55,0,0.333333333333333,0.333333333333333,0.333333333333333,0,1
"30","NoKy",38,0.5,0,0.25,0.25,0,1
"31","SWVI",25,0.333333333333333,0.166666666666667,0.333333333333333,0.166666666666667,0,1
"32","NoKy",50,0.375,0.5,0,0.125,0,1
"33","SWVI",39,0.0833333333333333,0.583333333333333,0.25,0.0833333333333333,0,1
"34","SWVI",11,0.230769230769231,0.461538461538462,0.230769230769231,0.0769230769230769,0,1
"35","NoKy",21,1,0,0,0,0,1
"36","SWVI",52,1,0,0,0,0,1
"37","SWVI",56,1,0,0,0,0,1
"38","SWVI",57,1,0,0,0,0,1
"39","SWVI",61,1,0,0,0,0,1
"40","SWVI",62,1,0,0,0,0,1
"41","SWVI",30,0.5,0,0.5,0,0,1
"42","SWVI",1,0.307692307692308,0.307692307692308,0.384615384615385,0,0,1
"43","NoKy",1,0.25,0.75,0,0,0,1
"44","SWVI",20,0.25,0.75,0,0,0,1
"45","SWVI",50,0.230769230769231,0.769230769230769,0,0,0,1
"46","NoKy",7,0.142857142857143,0.714285714285714,0.142857142857143,0,0,1
"47","NoKy",8,0.125,0.75,0.125,0,0,1
"48","SWVI",47,0.0909090909090909,0.909090909090909,0,0,0,1
"49","SWVI",16,0.0909090909090909,0.909090909090909,0,0,0,1
"50","SWVI",3,0.0714285714285714,0.928571428571429,0,0,0,1
"51","SWVI",34,0.0714285714285714,0.928571428571429,0,0,0,1
"52","NoKy",40,0,0,1,0,0,1
"53","NoKy",65,0,0,1,0,0,1
"54","SWVI",33,0,0,1,0,0,1
"55","SWVI",35,0,0,1,0,0,1
"56","SWVI",12,0,0.5,0.5,0,0,1
"57","SWVI",41,0,0.666666666666667,0.333333333333333,0,0,1
"58","NoKy",11,0,0.75,0.25,0,0,1
"59","SWVI",15,0,0.75,0.25,0,0,1
"60","SWVI",65,0,0.8,0.2,0,0,1
"61","NoKy",5,0,0.875,0.125,0,0,1
"62","NoKy",9,0,0.875,0.125,0,0,1
"63","NoKy",10,0,0.875,0.125,0,0,1
"64","NoKy",41,0,0.875,0.125,0,0,1
"65","NoKy",53,0,0.875,0.125,0,0,1
"66","SWVI",2,0,0.909090909090909,0.0909090909090909,0,0,1
"67","SWVI",5,0,0.909090909090909,0.0909090909090909,0,0,1
"68","SWVI",21,0,0.923076923076923,0.0769230769230769,0,0,1
"69","NoKy",2,0,1,0,0,0,1
"70","NoKy",3,0,1,0,0,0,1
"71","NoKy",16,0,1,0,0,0,1
"72","NoKy",17,0,1,0,0,0,1
"73","NoKy",18,0,1,0,0,0,1
"74","NoKy",20,0,1,0,0,0,1
"75","NoKy",32,0,1,0,0,0,1
"76","NoKy",33,0,1,0,0,0,1
"77","NoKy",34,0,1,0,0,0,1
"78","NoKy",42,0,1,0,0,0,1
"79","NoKy",47,0,1,0,0,0,1
"80","NoKy",48,0,1,0,0,0,1
"81","NoKy",51,0,1,0,0,0,1
"82","NoKy",61,0,1,0,0,0,1
"83","NoKy",70,0,1,0,0,0,1
"84","SWVI",10,0,1,0,0,0,1
"85","SWVI",17,0,1,0,0,0,1
"86","SWVI",18,0,1,0,0,0,1
"87","SWVI",19,0,1,0,0,0,1
"88","SWVI",29,0,1,0,0,0,1
"89","SWVI",32,0,1,0,0,0,1
"90","SWVI",45,0,1,0,0,0,1
"91","SWVI",46,0,1,0,0,0,1
"92","SWVI",48,0,1,0,0,0,1
"93","SWVI",53,0,1,0,0,0,1
"94","SWVI",54,0,1,0,0,0,1
"95","SWVI",55,0,1,0,0,0,1
