W,LF_Name,LF,CI,CL,CV,FV,CR,FR,TR
Nahmint,LF1: Mortality or fitness reduction due to predation from pinnipeds or other aquatic species,1,4,3,12,43,3,4,12
Nahmint,LF2:  Mortality or fitness reduction increased exposure to terrestrial predation,2,2,2,4,32,2,1,2
Nahmint,LF3: Mortality or fitness reduction as a result of stress due to anthropogenic activity (non fishing),3,2,4,8,53,3,5,15
Nahmint,"LF4: Mortality or fitness reduction as a result of disease, parasites, or pathogens",4,0,0,0,0,0,0,0
Nahmint,LF5: Mortality or fitness reduction due to competition with invasive species,5,2,2,4,32,2,1,2
Nahmint,LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity),6,5,5,25,45,5,5,25
Nahmint,LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat,7,0,1,0,0,0,0,0
Nahmint,LF8: Pre-spawn mortality or fitness reduction due to reduced quantity of spawning habitat,8,1,1,1,41,1,2,2
Nahmint,LF9: Mortality or fitness reduction due to fishing,9,2,4,8,43,3,4,12
Nahmint,LF10: Mortality or fitness reduction of wild fish due to competition with hatchery fish or aquaculture escapees for spawning locations or mates ,10,-1,1,-1,-1-1,-1,-1,1
Nahmint,LF11: Mortality or fitness reduction due to unfavourable water temperatures,11,2,5,10,43,3,4,12
Nahmint,LF12: Mortality or fitness reduction as a result of low dissolved oxygen,12,0,0,0,0,0,0,0
Nahmint,LF13: Mortality or fitness reduction as a result of poor pH levels,13,0,0,0,0,0,0,0
Nahmint,LF14: Mortality or fitness reduction as a result of changes to salinity,14,0,0,0,0,0,0,0
Nahmint,LF15: Mortality or fitness reduction due to deleterious substances,15,0,0,0,0,0,0,0
Nahmint,LF16: Mortality due to elevated levels of predation of eggs and alevin ,16,0,0,0,0,0,0,0
Nahmint,LF17: Mortality or fitness reduction due to predation by or presence of invasive species,17,0,0,0,0,0,0,0
Nahmint,LF18: Mortality due to redd disturbance by humans,18,0,0,0,0,0,0,0
Nahmint,LF19: Mortality or fitness reduction due to early alevin emergence,19,-1,1,-1,-1-1,-1,-1,1
Nahmint,LF20: Mortality or fitness reduction due to redd overspawn,20,1,1,1,31,1,1,1
Nahmint,LF21: Mortality or fitness reduction due to dewatered redds at low flows,21,1,1,1,41,1,2,2
Nahmint,LF22: Mortality or fitness reduction resulting from frequent and higher peak flows causing redd scour,22,-1,1,-1,-1-1,-1,-1,1
Nahmint,LF23: Mortality of eggs during incubation due to variable lake water levels,23,0,0,0,0,0,0,0
