W,LF,CI,CL,CV,FV,CR,FR,TR
Nahmint,LF1: Mortality or fitness reduction due to predation from pinnipeds or other aquatic species,4,3,12,43,3,4,12
Nahmint,LF2:  Mortality or fitness reduction increased exposure to terrestrial predation,2,2,4,32,2,1,2
Nahmint,LF3: Mortality or fitness reduction as a result of stress due to anthropogenic activity (non fishing),2,4,8,53,3,5,15
Nahmint,"LF4: Mortality or fitness reduction as a result of disease, parasites, or pathogens",0,0,0,0,0,0,0
Nahmint,LF5: Mortality or fitness reduction due to competition with invasive species,2,2,4,32,2,1,2
Nahmint,LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity),5,5,25,45,5,5,25
Nahmint,LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat,0,1,0,0,0,0,0
Nahmint,LF8: Pre-spawn mortality or fitness reduction due to reduced quantity of spawning habitat,1,1,1,41,1,2,2
Nahmint,LF9: Mortality or fitness reduction due to fishing,2,4,8,43,3,4,12
Nahmint,LF10: Mortality or fitness reduction of wild fish due to competition with hatchery fish or aquaculture escapees for spawning locations or mates ,-1,1,-1,-2,-1,-1,1
Nahmint,LF11: Mortality or fitness reduction due to unfavourable water temperatures,2,5,10,43,3,4,12
Nahmint,LF12: Mortality or fitness reduction as a result of low dissolved oxygen,0,0,0,0,0,0,0
Nahmint,LF13: Mortality or fitness reduction as a result of poor pH levels,0,0,0,0,0,0,0
Nahmint,LF14: Mortality or fitness reduction as a result of changes to salinity,0,0,0,0,0,0,0
Nahmint,LF15: Mortality or fitness reduction due to deleterious substances,0,0,0,0,0,0,0
Nahmint,LF16: Mortality due to elevated levels of predation of eggs and alevin ,0,0,0,0,0,0,0
Nahmint,LF17: Mortality or fitness reduction due to predation by or presence of invasive species,0,0,0,0,0,0,0
Nahmint,LF18: Mortality due to redd disturbance by humans,0,0,0,0,0,0,0
Nahmint,LF19: Mortality or fitness reduction due to early alevin emergence,-1,1,-1,-2,-1,-1,1
Nahmint,LF20: Mortality or fitness reduction due to redd overspawn,1,1,1,31,1,1,1
Nahmint,LF21: Mortality or fitness reduction due to dewatered redds at low flows,1,1,1,41,1,2,2
Nahmint,LF22: Mortality or fitness reduction resulting from frequent and higher peak flows causing redd scour,0,0,0,0,0,0,0
Nahmint,LF23: Mortality of eggs during incubation due to variable lake water levels,0,0,0,0,0,0,0
Nahmint,LF24: Mortality of eggs due to lack of groundwater upwelling on lakeshore,0,0,0,0,0,0,0
Nahmint,LF25: Mortality or fitness reduction due to lower quality spawning gravel,-1,1,-1,-2,-1,-1,1
Nahmint,LF26: Mortality or fitness reduction due to unfavourable water temperatures,-1,1,-1,-2,-1,-1,1
Nahmint,LF27: Mortality or fitness reduction as a result of low dissolved oxygen,-1,1,-1,-2,-1,-1,1
Nahmint,LF28: Mortality or fitness reduction as a result of poor pH levels,-1,1,-1,-2,-1,-1,1
Nahmint,LF29: Mortality or fitness reduction due to deleterious substances,0,0,0,0,0,0,0
Nahmint,LF30: Mortality or fitness reduction as a result of elevated predation,0,0,0,0,0,0,0
Nahmint,LF31: Mortality or fitness reduction due to elevated predation as a result of enhancement of predatory fish species,0,0,0,0,0,0,0
Nahmint,LF32: Mortality or fitness reduction as a result of stress due to anthropogenic activity,1,1,1,31,1,1,1
Nahmint,"LF33: Mortality or fitness reduction as a result of disease, parasites, or pathogens",-1,1,-1,-2,-1,-1,1
Nahmint,LF34: Mortality or fitness reduction due to competition from invasive species ,1,1,1,31,1,1,1
Nahmint,LF35: Mortality or fitness reduction as a result of lack of access to appropriate food,-1,1,-1,-2,-1,-1,1
Nahmint,LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat,4,3,12,43,3,4,12
Nahmint,LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat,4,3,12,43,3,4,12
Nahmint,LF38: Mortality or fitness reduction as a result of decreased access to or quality of floodplain habitat,1,1,1,41,1,2,2
Nahmint,LF39: Mortality or fitness reduction from stranding in rearing habitat,1,1,1,41,1,2,2
Nahmint,LF40: Mortality or fitness reduction due to frequent and higher peak flows causing flushing,0,0,0,0,0,0,0
Nahmint,LF41: Mortality or fitness reduction as a result of competition with hatchery fry,-1,1,-1,-2,-1,-1,1
Nahmint,LF42: Mortality or fitness reduction due to unfavourable water temperatures,-1,1,-1,-2,-1,-1,1
Nahmint,LF43: Mortality or fitness reduction as a result of low dissolved oxygen,-1,1,-1,-2,-1,-1,1
Nahmint,LF44: Mortality or fitness reduction as a result of poor pH levels,-1,1,-1,-2,-1,-1,1
Nahmint,LF45: Mortality or fitness reduction as a result of deleterious substances,-1,1,-1,-2,-1,-1,1
Nahmint,LF46: Mortality or fitness reduction due to ingestion of microplastics in lake environments,0,0,0,0,0,0,0
Nahmint,LF47: Mortality or fitness reduction due to elevated predation,0,0,0,0,0,0,0
Nahmint,LF48: Mortality or fitness reduction due to predation by invasive species,0,0,0,0,0,0,0
Nahmint,LF49: Mortality or fitness reduction due to inter- and intra-specific competition,-1,1,-1,-2,-1,-1,1
Nahmint,LF50: Mortality or fitness reduction as a result of stress due to anthropogenic activity,3,3,9,43,3,4,12
Nahmint,"LF51: Mortality or fitness reduction as a result of disease, parasites, or pathogens",-1,1,-1,-2,-1,-1,1
Nahmint,LF52: Mortality or fitness reduction as a result of lack of access to appropriate food,-1,1,-1,-2,-1,-1,1
Nahmint,LF53: Mortality or fitness reduction due to increased frequency and magnitude of algal blooms,-1,1,-1,-2,-1,-1,1
Nahmint,LF54: Mortality or fitness reduction due to reduction in quality of beach habitat,-1,1,-1,-2,-1,-1,1
Nahmint,LF55: Mortality or fitness reduction due to loss in quantity of beach habitat loss ,-1,1,-1,-2,-1,-1,1
Nahmint,LF56: Mortality or fitness reduction due to reduction in quality channel habitat,-1,1,-1,-2,-1,-1,1
Nahmint,LF57: Mortality or fitness reduction due to reduction in quantity channel habitat ,-1,1,-1,-2,-1,-1,1
Nahmint,LF58: Mortality or fitness reduction due to reduction in quality of vegetation habitat ,-1,1,-1,-2,-1,-1,1
Nahmint,LF59: Mortality or fitness reduction due to reduction in quantity of vegetation habitat ,-1,1,-1,-2,-1,-1,1
Nahmint,LF60: Mortality or fitness reduction due to competition with hatchery fish,-1,1,-1,-2,-1,-1,1
Nahmint,LF61: Mortality or fitness reduction due to unfavourable water temperatures,-1,1,-1,-2,-1,-1,1
Nahmint,LF62: Mortality or fitness reduction as a result of low dissolved oxygen,-1,1,-1,-2,-1,-1,1
Nahmint,LF63: Mortality or fitness reduction as a result of poor pH levels,-1,1,-1,-2,-1,-1,1
Nahmint,LF64: Mortality or fitness reduction due to increases in salinity,-1,1,-1,-2,-1,-1,1
Nahmint,LF65: Mortality or fitness reduction due to deleterious substances,0,0,0,0,0,0,0
Nahmint,LF66: Mortality or fitness reduction due to ingestion of microplastics ,0,0,0,0,0,0,0
Nahmint,"LF67: Mortality or fitness reduction due changes in biological characteristics such as fecundity, maturation rate, sex ratios, size at age, etc",5,5,25,55,5,5,25
Nahmint,"LF68: Mortality or fitness reduction due to a reduction in natural (wild) genetic influence. This is measured by the stray rate (pHOSstray) into the system, or by the frequency and magnitude of direct transplanting.",4,5,20,55,5,5,25
