"Area","Rating","Count","Total","Proportion","Time"
"Area 23","H",6,110,0.0545454545454545,"C"
"Area 23","L",17,110,0.154545454545455,"C"
"Area 23","M",35,110,0.318181818181818,"C"
"Area 23","VH",14,110,0.127272727272727,"C"
"Area 23","VL",38,110,0.345454545454545,"C"
"Area 24","H",17,267,0.0636704119850187,"C"
"Area 24","L",20,267,0.0749063670411985,"C"
"Area 24","M",20,267,0.0749063670411985,"C"
"Area 24","VH",15,267,0.0561797752808989,"C"
"Area 24","VL",195,267,0.730337078651685,"C"
"Area 25","H",9,152,0.0592105263157895,"C"
"Area 25","L",12,152,0.0789473684210526,"C"
"Area 25","M",6,152,0.0394736842105263,"C"
"Area 25","VH",16,152,0.105263157894737,"C"
"Area 25","VL",109,152,0.717105263157895,"C"
"Area 26","L",9,76,0.118421052631579,"C"
"Area 26","M",13,76,0.171052631578947,"C"
"Area 26","VH",5,76,0.0657894736842105,"C"
"Area 26","VL",49,76,0.644736842105263,"C"
"Area 23","H",23,110,0.209090909090909,"F"
"Area 23","L",17,110,0.154545454545455,"F"
"Area 23","M",16,110,0.145454545454545,"F"
"Area 23","VH",19,110,0.172727272727273,"F"
"Area 23","VL",35,110,0.318181818181818,"F"
"Area 24","H",20,267,0.0749063670411985,"F"
"Area 24","L",65,267,0.243445692883895,"F"
"Area 24","M",22,267,0.0823970037453183,"F"
"Area 24","VH",27,267,0.101123595505618,"F"
"Area 24","VL",133,267,0.49812734082397,"F"
"Area 25","H",10,152,0.0657894736842105,"F"
"Area 25","L",25,152,0.164473684210526,"F"
"Area 25","M",12,152,0.0789473684210526,"F"
"Area 25","VH",21,152,0.138157894736842,"F"
"Area 25","VL",84,152,0.552631578947368,"F"
"Area 26","H",13,76,0.171052631578947,"F"
"Area 26","L",4,76,0.0526315789473684,"F"
"Area 26","M",3,76,0.0394736842105263,"F"
"Area 26","VH",5,76,0.0657894736842105,"F"
"Area 26","VL",51,76,0.671052631578947,"F"
