"","LF","LF_Name...2","VH","H","M","L","VL","LF_Future_Bio_Risk","LF_Name...9","VH_Future_Bio_Risk","H_Future_Bio_Risk","M_Future_Bio_Risk","L_Future_Bio_Risk","VL_Future_Bio_Risk","row"
"1","LF36","LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat",8,1,4,1,3,"LF6","LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity)",10,3,2,3,1,1
"2","LF37","LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat",7,1,5,1,3,"LF36","LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat",8,5,1,1,2,2
"3","LF6","LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity)",6,4,4,0,5,"LF37","LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat",7,5,2,2,1,3
"4","LF68","LF68: Mortality or fitness reduction due to a reduction in natural (wild) genetic influence. This is measured by the stray rate (pHOSstray) into the system, or by the frequency and magnitude of direct transplanting.",6,0,2,1,1,"LF67","LF67: Mortality or fitness reduction due changes in biological characteristics such as fecundity, maturation rate, sex ratios, size at age, etc",7,2,0,0,0,4
"5","LF69","LF69: Mortality or fitness reduction as a result of rearing in a hatchery environment leading to maladaptation to the wild environment. This is measured in a reduction in PNI.",5,3,0,2,4,"LF7","LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat",5,3,2,3,6,5
"6","LF22","LF22: Mortality or fitness reduction resulting from frequent and higher peak flows causing redd scour",4,0,1,0,1,"LF68","LF68: Mortality or fitness reduction due to a reduction in natural (wild) genetic influence. This is measured by the stray rate (pHOSstray) into the system, or by the frequency and magnitude of direct transplanting.",5,0,2,0,3,6
"7","LF67","LF67: Mortality or fitness reduction due changes in biological characteristics such as fecundity, maturation rate, sex ratios, size at age, etc",3,4,2,0,0,"LF38","LF38: Mortality or fitness reduction as a result of decreased access to or quality of floodplain habitat",4,3,1,5,1,7
"8","LF59","LF59: Mortality or fitness reduction due to reduction in quantity of vegetation habitat",2,2,4,0,0,"LF69","LF69: Mortality or fitness reduction as a result of rearing in a hatchery environment leading to maladaptation to the wild environment. This is measured in a reduction in PNI.",4,2,3,1,4,8
"9","LF7","LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat",2,1,5,3,8,"LF22","LF22: Mortality or fitness reduction resulting from frequent and higher peak flows causing redd scour",4,0,1,0,1,9
"10","LF38","LF38: Mortality or fitness reduction as a result of decreased access to or quality of floodplain habitat",1,5,2,1,5,"LF59","LF59: Mortality or fitness reduction due to reduction in quantity of vegetation habitat",3,5,0,0,0,10
"11","LF58","LF58: Mortality or fitness reduction due to reduction in quality of vegetation habitat",1,2,4,0,0,"LF8","LF8: Pre-spawn mortality or fitness reduction due to reduced quantity of spawning habitat",3,2,2,4,10,11
"12","LF51","LF51: Mortality or fitness reduction as a result of disease, parasites, or pathogens",1,1,1,2,2,"LF58","LF58: Mortality or fitness reduction due to reduction in quality of vegetation habitat",2,5,0,0,0,12
