"FWRA_CONDUCTED","SYSTEM_SITE","GFE_TYPE","SPECIES_QUALIFIED","Y_LAT","X_LONGT","FAZ_ACRO","MAZ_ACRO","JAZ_ACRO","CU_NAME","CU_ACRO","CU_LAT","CU_LONGT","CU_TYPE","CU_INDEX","FULL_CU_IN","SBJ_ID","POP_ID","IS_INDICATOR","Area","Stage","LF_Name","LF_Number","Impact","Likelihood","Current_Value","Future_Value","Current_Bio_Risk","Future_Bio_Risk","Total_Bio_Risk"
"Y","NAHMINT RIVER","Stream","CK",49.0619635,-124.8826049,"WVI","WVI","WVI+WVI","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","SWVI",49.02687599,-125.1496251,"Current",31,"CK-31",5,40618,"Y",23,"Terminal Migration","LF1: Mortality or fitness reduction due to predation from pinnipeds or other aquatic species",1,"4",3,12,"34",3,4,12
"Y","NAHMINT RIVER","Stream","CK",49.0619635,-124.8826049,"WVI","WVI","WVI+WVI","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","SWVI",49.02687599,-125.1496251,"Current",31,"CK-31",5,40618,"Y",23,"Terminal Migration","LF2:  Mortality or fitness reduction increased exposure to terrestrial predation",2,"2",2,4,"23",2,2,4
"Y","NAHMINT RIVER","Stream","CK",49.0619635,-124.8826049,"WVI","WVI","WVI+WVI","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","SWVI",49.02687599,-125.1496251,"Current",31,"CK-31",5,40618,"Y",23,"Terminal Migration","LF3: Mortality or fitness reduction as a result of stress due to anthropogenic activity (non fishing)",3,"2",4,8,"35",3,5,15
"Y","NAHMINT RIVER","Stream","CK",49.0619635,-124.8826049,"WVI","WVI","WVI+WVI","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","SWVI",49.02687599,-125.1496251,"Current",31,"CK-31",5,40618,"Y",23,"Terminal Migration","LF4: Mortality or fitness reduction as a result of disease, parasites, or pathogens",4,"0",0,0,"0",0,0,0
"Y","NAHMINT RIVER","Stream","CK",49.0619635,-124.8826049,"WVI","WVI","WVI+WVI","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","SWVI",49.02687599,-125.1496251,"Current",31,"CK-31",5,40618,"Y",23,"Terminal Migration","LF5: Mortality or fitness reduction due to competition with invasive species",5,"2",2,4,"23",2,2,4
"Y","NAHMINT RIVER","Stream","CK",49.0619635,-124.8826049,"WVI","WVI","WVI+WVI","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","SWVI",49.02687599,-125.1496251,"Current",31,"CK-31",5,40618,"Y",23,"Terminal Migration","LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity)",6,"5",5,25,"54",5,5,25
"Y","NAHMINT RIVER","Stream","CK",49.0619635,-124.8826049,"WVI","WVI","WVI+WVI","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","SWVI",49.02687599,-125.1496251,"Current",31,"CK-31",5,40618,"Y",23,"Terminal Migration","LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat",7,"0",1,0,"0",0,0,0
"Y","NAHMINT RIVER","Stream","CK",49.0619635,-124.8826049,"WVI","WVI","WVI+WVI","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","SWVI",49.02687599,-125.1496251,"Current",31,"CK-31",5,40618,"Y",23,"Terminal Migration","LF8: Pre-spawn mortality or fitness reduction due to reduced quantity of spawning habitat",8,"1",1,1,"14",1,2,2
"Y","NAHMINT RIVER","Stream","CK",49.0619635,-124.8826049,"WVI","WVI","WVI+WVI","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","SWVI",49.02687599,-125.1496251,"Current",31,"CK-31",5,40618,"Y",23,"Terminal Migration","LF9: Mortality or fitness reduction due to fishing",9,"2",4,8,"34",3,4,12
"Y","NAHMINT RIVER","Stream","CK",49.0619635,-124.8826049,"WVI","WVI","WVI+WVI","WEST VANCOUVER ISLAND-SOUTH_FA_0.x","SWVI",49.02687599,-125.1496251,"Current",31,"CK-31",5,40618,"Y",23,"Terminal Migration","LF10: Mortality or fitness reduction of wild fish due to competition with hatchery fish or aquaculture escapees for spawning locations or mates",10,"-1",1,-1,"-1-1",-1,-1,1
