"","sorted.LF_Name"
"1","LF6: Limited or delayed access due to physical migration barriers and/or lack of safe migration routes (including lack of cover and complexity)"
"2","LF36: Mortality or fitness reduction as a result of decreased quality of rearing habitat"
"3","LF37: Mortality or fitness reduction as a result of decreased quantity of rearing habitat"
"4","LF68: Mortality or fitness reduction due to a reduction in natural (wild) genetic influence. This is measured by the stray rate (pHOSstray) into the system, or by the frequency and magnitude of direct transplanting."
"5","LF67: Mortality or fitness reduction due changes in biological characteristics such as fecundity, maturation rate, sex ratios, size at age, etc"
"6","LF69: Mortality or fitness reduction as a result of rearing in a hatchery environment leading to maladaptation to the wild environment. This is measured in a reduction in PNI."
"7","LF22: Mortality or fitness reduction resulting from frequent and higher peak flows causing redd scour"
"8","LF7: Pre-spawn mortality or fitness reduction due to poor quality of spawning habitat"
"9","LF38: Mortality or fitness reduction as a result of decreased access to or quality of floodplain habitat"
"10","LF59: Mortality or fitness reduction due to reduction in quantity of vegetation habitat"
"11","LF8: Pre-spawn mortality or fitness reduction due to reduced quantity of spawning habitat"
"12","LF58: Mortality or fitness reduction due to reduction in quality of vegetation habitat"
"13","LF51: Mortality or fitness reduction as a result of disease, parasites, or pathogens"
"14","LF11: Mortality or fitness reduction due to unfavourable water temperatures"
"15","LF40: Mortality or fitness reduction due to frequent and higher peak flows causing flushing"
"16","LF9: Mortality or fitness reduction due to fishing"
"17","LF50: Mortality or fitness reduction as a result of stress due to anthropogenic activity"
"18","LF25: Mortality or fitness reduction due to lower quality spawning gravel"
"19","LF70: Mortality or fitness reduction due to negative effects of small population size - including inbreeding depression and gene flow"
"20","LF3: Mortality or fitness reduction as a result of stress due to anthropogenic activity (non fishing)"
"21","LF61: Mortality or fitness reduction due to unfavourable water temperatures"
"22","LF57: Mortality or fitness reduction due to reduction in quantity channel habitat"
"23","LF1: Mortality or fitness reduction due to predation from pinnipeds or other aquatic species"
"24","LF56: Mortality or fitness reduction due to reduction in quality channel habitat"
"25","LF39: Mortality or fitness reduction from stranding in rearing habitat"
"26","LF21: Mortality or fitness reduction due to dewatered redds at low flows"
"27","LF54: Mortality or fitness reduction due to reduction in quality of beach habitat"
"28","LF55: Mortality or fitness reduction due to loss in quantity of beach habitat loss"
"29","LF62: Mortality or fitness reduction as a result of low dissolved oxygen"
"30","LF65: Mortality or fitness reduction due to deleterious substances"
"31","LF34: Mortality or fitness reduction due to competition from invasive species"
"32","LF20: Mortality or fitness reduction due to redd overspawn"
"33","LF30: Mortality or fitness reduction as a result of elevated predation"
"34","LF16: Mortality due to elevated levels of predation of eggs and alevin"
"35","LF33: Mortality or fitness reduction as a result of disease, parasites, or pathogens"
"36","LF52: Mortality or fitness reduction as a result of lack of access to appropriate food"
"37","LF41: Mortality or fitness reduction as a result of competition with hatchery fry"
"38","LF47: Mortality or fitness reduction due to elevated predation"
"39","LF12: Mortality or fitness reduction as a result of low dissolved oxygen"
"40","LF35: Mortality or fitness reduction as a result of lack of access to appropriate food"
"41","LF19: Mortality or fitness reduction due to early alevin emergence"
"42","LF42: Mortality or fitness reduction due to unfavourable water temperatures"
"43","LF26: Mortality or fitness reduction due to unfavourable water temperatures"
"44","LF43: Mortality or fitness reduction as a result of low dissolved oxygen"
"45","LF44: Mortality or fitness reduction as a result of poor pH levels"
"46","LF49: Mortality or fitness reduction due to inter- and intra-specific competition"
"47","LF60: Mortality or fitness reduction due to competition with hatchery fish"
"48","LF63: Mortality or fitness reduction as a result of poor pH levels"
"49","LF64: Mortality or fitness reduction due to increases in salinity"
"50","LF10: Mortality or fitness reduction of wild fish due to competition with hatchery fish or aquaculture escapees for spawning locations or mates"
"51","LF27: Mortality or fitness reduction as a result of low dissolved oxygen"
"52","LF28: Mortality or fitness reduction as a result of poor pH levels"
"53","LF4: Mortality or fitness reduction as a result of disease, parasites, or pathogens"
"54","LF13: Mortality or fitness reduction as a result of poor pH levels"
"55","LF14: Mortality or fitness reduction as a result of changes to salinity"
"56","LF15: Mortality or fitness reduction due to deleterious substances"
"57","LF45: Mortality or fitness reduction as a result of deleterious substances"
"58","LF29: Mortality or fitness reduction due to deleterious substances"
"59","LF53: Mortality or fitness reduction due to increased frequency and magnitude of algal blooms"
"60","LF2:  Mortality or fitness reduction increased exposure to terrestrial predation"
"61","LF66: Mortality or fitness reduction due to ingestion of microplastics"
"62","LF17: Mortality or fitness reduction due to predation by or presence of invasive species"
"63","LF5: Mortality or fitness reduction due to competition with invasive species"
"64","LF18: Mortality due to redd disturbance by humans"
"65","LF32: Mortality or fitness reduction as a result of stress due to anthropogenic activity"
"66","LF48: Mortality or fitness reduction due to predation by invasive species"
"67","LF46: Mortality or fitness reduction due to ingestion of microplastics in lake environments"
"68","LF31: Mortality or fitness reduction due to elevated predation as a result of enhancement of predatory fish species"
